# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
fedora;1;2023-02-22 20:14:36;-1;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.97
fedora;1;2023-02-22 20:14:36;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
fedora;1;2023-02-22 20:14:36;90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
