,_HP_LLC_MAX,_HP_LLC_MEAN,_HP_LLC_MIN,_HP_MB_MAX,_HP_MB_MEAN,_HP_MB_MIN,_LP_LLC_MAX,_LP_LLC_MEAN,_LP_LLC_MIN,_LP_MB_MAX,_LP_MB_MEAN,_LP_MB_MIN,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt_24_32_11_11_1_specjbb2015_sepcjbb_lp_100_10.sh,39312,37879.7117117,15792,23641.8,2313.25675676,0,23520,1044.32432432,0,23520,8.75900900901,0,24,32,11,11,specjbb2015,sepcjbb,100,10,4300,22913198.62597813,1463563.77847,12717.5117709,1893022.76131,2768655.67579,369316.758712,0.0003907657271040001,0.00313122504116,,3090.35764779,1165.79642083,45.0865509281,97.87067019919536,5.48711283213,0,552.829919704,0.05816995731919999,0.0458386065249,53.2800343202,17674.67345184766,64.3777293205,65.2998831089,14.7355260186,91.0472406088,8388407147.319554,173273076.6457826,101674601.284151,36521733106.66592,219493.772801396,49.20352793726296
rdt_24_32_11_11_1_specjbb2015_sepcjbb_lp_100_100.sh,39312,37708.8131417,16128,27696.2,2454.79958932,0,23072,1205.5523614,0,23072,8.257905544149999,0,24,32,11,11,specjbb2015,sepcjbb,100,100,4300,18166606.12097841,1401580.36935,10704.1062943,1497399.36185,3092803.51545,377498.521005,0.00207785667308,0.00476065119947,,2684.60214646,1156.43394512,55.1668300669,95.89273517362105,5.3862099089,0.0001027508464804758,435.885549621,0.0666730782602,0.0496250951316,61.2012932354,18723.37398705668,67.1182824996,63.8248955217,25.7657144585,90.37708714860001,9554387771.705317,194356515.5385109,104685438.202474,35798977755.95866,72162.99439054268,49.78257780702396
rdt_24_32_11_11_1_specjbb2015_sepcjbb_lp_100_20.sh,39424,37873.5483871,14000,23425.7,2265.16175115,0,24640,1036.64516129,0,24640,9.440322580650001,0,24,32,11,11,specjbb2015,sepcjbb,100,20,4300,19365753.13431099,1496426.45196,10845.0488926,1600288.30787,2740843.21463,342094.781195,0.00289892597847,0.00709296065439,,3078.43770689,1151.02000231,52.386760971,97.43051066580476,7.009332766799999,0,428.307416239,0.0388107387979,0.0439028626819,56.2254582955,17483.33012781177,66.9863528491,66.36040709939999,17.1329305383,92.024302914,7885556153.812172,165226164.8940296,100372360.5477092,34789900320.64841,72655.43765099157,48.89744529142936
rdt_24_32_11_11_1_specjbb2015_sepcjbb_lp_100_30.sh,39200,37690.8518519,17136,26365.7,2371.85833333,0,21840,1214.62962963,0,21840,9.60671296296,0,24,32,11,11,specjbb2015,sepcjbb,100,30,4400,19132990.19068975,1511237.68941,9565.0066089,1579807.89432,2777789.36096,292620.390815,0.00198569121115,0.005216014373970001,,2957.28407273,1612.89391539,90.555456172,96.69454545454543,7.470423988139999,6.892939119314684e-06,489.661927298,0.0465894996053,0.0485999110611,57.2325218304,17743.22853210163,67.1614898602,62.8187555124,17.3070597937,89.79651789540002,8136225515.617337,165331983.8920284,97617268.4275712,39457094212.64125,86715.26683410206,49.34239549011679
rdt_24_32_11_11_1_specjbb2015_sepcjbb_lp_100_40.sh,39312,37771,15120,27073.6,2826.64214286,0,24080,1157.4,0,24080,8.34535714286,0,24,32,11,11,specjbb2015,sepcjbb,100,40,4300,16858319.92694675,1300608.40238,11337.95966,1386838.75597,3761609.7618,241902.20506,0.00187222912006,0.00551387110224,,2709.76370385,1220.47697973,70.161216574,95.10744222898468,4.27617391384,2.313329836231277e-05,739.6733369369999,0.0245202682219,0.0311266232405,67.0221990058,23728.38776066811,66.4350630231,65.3368712203,24.1376814015,84.97990912510001,11991072607.27052,236789469.1608755,154504725.1372208,41389006747.00108,100282.1697236895,50.559072821157
rdt_24_32_11_11_1_specjbb2015_sepcjbb_lp_100_50.sh,39312,37830.61682240001,12656,26153.3,2261.88621495,0,26432,1022.65420561,0,26432,8.77196261682,0,24,32,11,11,specjbb2015,sepcjbb,100,50,4300,21791620.65419912,1403096.28484,9765.85776051,1801803.00232,2612912.12054,325129.070872,0.00163096996535,0.00428554106271,,2954.43754239,1078.97474914,37.10194754,95.65323855765594,5.820014119980001,5.023361003507822e-05,287.343146541,0.0456034053266,0.0435313153171,52.5160862399,15252.40096057326,65.7820487356,64.6142617923,16.9076575068,90.2212050728,7743691600.296383,160001040.7929496,93586680.70253442,33317623221.65855,60230.05273825952,49.47925641263386
rdt_24_32_11_1_1_specjbb2015_sepcjbb_lp_100_10.sh,39424,38069.9354839,9296,26705.6,2389.01221198,0,28896,795.35483871,0,28896,14.3338709677,0,24,32,11,1,specjbb2015,sepcjbb,100,10,4300,18902855.01740899,1514409.18017,11013.8590484,1565625.24534,2755028.19682,330192.46155,0.00110802137631,0.00442170052627,,3155.52244423,1823.83587692,102.914159416,96.40328417923513,6.54112487288,0,288.70824727,0.0592665821627,0.0763593645903,56.7834231019,17559.17913209608,67.0875496913,65.1404239129,16.4752604125,64.3415368258,8451958533.033001,170337876.2172833,101736477.1522648,40448388676.1852,83774.74824925506,49.32670280539645
rdt_24_32_11_1_1_specjbb2015_sepcjbb_lp_100_100.sh,39312,38251.2036613,25424,22285.2,2263.41395881,0,12208,690.453089245,0,12208,12.1796338673,0,24,32,11,1,specjbb2015,sepcjbb,100,100,4300,19336236.2869673,1491616.84449,9213.10536147,1601319.54918,2799062.06568,346691.003424,0.0024841884992,0.00474633546797,,2607.41106088,2670.10577258,181.278921047,95.12228483886852,7.800018482430001,0.0001314539535699547,315.295770816,0.0300777284842,0.0355476589067,57.05555331399999,16490.52011830163,67.70703588149999,65.2920560351,14.4775867566,61.6253788771,7569244871.323683,155113295.4073177,89898044.82657376,39007647321.32318,69701.25011925759,48.95081368309628
rdt_24_32_11_1_1_specjbb2015_sepcjbb_lp_100_20.sh,39312,38105.5483871,26768,27515,2267.6483871,0,12320,752,0,12320,13.1866359447,0,24,32,11,1,specjbb2015,sepcjbb,100,20,4300,20988509.45996487,1360153.88175,11782.438462,1738535.47936,2918522.63962,314882.342032,0.001979469336,0.005565641342169999,,2903.87957151,1671.7874687,58.5480720218,94.89668347455424,7.563547145449999,0,230.889192447,0.06413292275600001,0.0539057176272,56.1574028896,17539.8881935606,65.5715679488,65.8417358459,13.579223664,64.5798965432,6465720365.980604,135744470.9781539,85015895.67166364,42815941063.8158,117223.3682653618,48.89902086591721
rdt_24_32_11_1_1_specjbb2015_sepcjbb_lp_100_30.sh,39424,38139.9544419,25760,23702.2,2434.7166287,0,12768,759.507972665,0,12768,14.4576309795,0,24,32,11,1,specjbb2015,sepcjbb,100,30,4400,20682530.59843631,1424317.75614,11966.9057891,1712961.86775,2971377.35608,465742.171107,0.0013819831957,0.004494829843699999,,2715.10066873,2269.78669464,120.948108724,94.72036337807022,14.6141833105,0,343.724937643,0.06545332520330001,0.0534936992509,56.0983826754,17778.32610742255,63.8627726174,66.7719677056,12.5019230211,64.1361408031,8619771363.088696,177212962.5987111,102203802.8826244,42687827852.61552,103298.3117043373,49.73578183083603
rdt_24_32_11_1_1_specjbb2015_sepcjbb_lp_100_40.sh,39424,38183.7919622,31360,26727.5,2202.04940898,0,6608,673.5886524819999,0,6608,12.6134751773,0,24,32,11,1,specjbb2015,sepcjbb,100,40,4300,17573863.70669467,1422125.86299,9695.78738888,1455931.15906,2472167.19941,341984.970371,0.0104794517374,0.0331802749078,,3044.92642761,1213.8817239,52.83707003449999,94.36470396346435,8.05972513133,4.427311467140084e-05,205.459258994,0.076753448925,0.065622089793,56.5925730856,15719.84582372116,68.2860770362,64.5657336234,20.1747124338,65.7968934946,7266323696.060875,161590231.2917691,68668250.13499627,40758637451.52109,97484.21272928976,49.66843163115232
rdt_24_32_11_1_1_specjbb2015_sepcjbb_lp_100_50.sh,39424,38198.5268065,24976,26083.7,2103.60909091,0,13216,675.9160839159999,0,13216,11.8867132867,0,24,32,11,1,specjbb2015,sepcjbb,100,50,4300,20506239.53433432,1282129.23388,9733.31480709,1699855.17743,2425974.2045,434953.430926,0.00234674298367,0.00541069816163,,2564.9045113,1834.15943427,99.6989019107,96.17985852365088,29.4833107207,1.274684424692397e-05,323.201617091,0.04358063415569999,0.0410823507958,52.3789215559,11798.33459964238,62.9074072909,66.0344896079,16.7444125817,67.493158357,8528453477.27938,169651710.4312518,79043367.38115212,38097994227.75053,68444.56623890107,48.61010356432728
rdt_24_32_11_2_1_specjbb2015_sepcjbb_lp_100_10.sh,39424,38125.9816514,27664,20145.1,2374.33555046,0,10080,747.52293578,0,10080,10.7376146789,0,24,32,11,2,specjbb2015,sepcjbb,100,10,4300,20671008.10216564,1429990.5974,12453.0071168,1709204.88368,2663089.13433,432534.932034,0.0007880512664699999,0.00390049017466,,3033.88860836,1051.30628503,37.330130262,96.00239781199656,10.8614854696,0,279.358486089,0.0356702127397,0.0388873485738,54.2282101238,18414.17022082081,65.84659250189999,63.3980761105,32.9568509977,73.5157301887,9315282834.28797,194923544.9723499,97586789.04575641,37412312866.52596,57345.20022698298,48.8958263500701
rdt_24_32_11_2_1_specjbb2015_sepcjbb_lp_100_100.sh,39200,38061.4181818,24528,25272.4,2337.13772727,0,14112,863.6727272730001,0,14112,10.7084090909,0,24,32,11,2,specjbb2015,sepcjbb,100,100,4400,18316125.75889873,1556485.68793,13830.3905676,1508693.00665,2813410.66846,364322.349851,0.00385551885802,0.008923711240319999,,2993.74137286,1505.66658809,74.8204842647,97.43269356696699,5.736913684380001,0.0001550942932447794,434.751730688,0.0339589292563,0.0371029887585,58.46057730689999,17723.32637634247,68.1396102521,66.7152675949,16.3916611853,82.68898667180001,8656910208.79777,178271394.160831,101085235.918995,34390222720.10694,64816.28379762871,48.84650608959333
rdt_24_32_11_2_1_specjbb2015_sepcjbb_lp_100_20.sh,39312,37845.6296296,22624,22390.8,2396.57569444,0,14784,1007.74074074,0,14784,10.8759259259,0,24,32,11,2,specjbb2015,sepcjbb,100,20,4400,19840822.62698832,1619087.37977,12948.6950509,1636930.64285,2978578.28164,393957.551369,0.00104612987753,0.00424511840203,,2539.36490119,1505.60589634,66.3411811104,91.48846415939255,13.4478140919,0,436.591631206,0.049698435739,0.0399663390335,57.5097688284,18128.95847970718,69.2177106235,66.2103501596,15.1237517002,81.7745229291,8931930363.385126,182051770.9145988,103448486.532044,45873342623.36284,93173.87663136802,49.85269620061452
rdt_24_32_11_2_1_specjbb2015_sepcjbb_lp_100_30.sh,39424,38052.12669680001,27552,27342,2256.28755656,0,10192,824.036199095,0,10192,11.1665158371,0,24,32,11,2,specjbb2015,sepcjbb,100,30,4400,24467518.11342245,1467353.28141,13208.4596858,2025202.57046,2962584.42977,440506.877008,0.00166473617484,0.00391755446972,,3164.29962772,1715.99126221,87.3323979025,95.57753948581328,6.68884187969,0,301.394505388,0.0864039782505,0.0671221506513,53.7126118672,17484.7004215772,65.5627045001,66.290638225,20.3946588518,83.1306030112,8914549593.490147,179115029.6501203,116124835.2265592,41025485092.20107,103124.8161529192,49.02302178048437
rdt_24_32_11_2_1_specjbb2015_sepcjbb_lp_100_40.sh,39424,38089.6344086,23632,27788.2,3172.23655914,0,14448,910.4516129030001,0,14448,12.6632872504,0,24,32,11,2,specjbb2015,sepcjbb,100,40,4300,16562214.97301381,1407297.4037,16341.9428876,1360522.77861,4517597.45855,321907.977836,0.00237026203026,0.00511982312607,,2383.66297608,1861.37272322,92.99438043190001,95.03552235160005,14.7632405756,0.0001964718248554348,510.767094939,0.0184689951278,0.0263826808935,70.65998548520001,26161.47852808114,68.3852196703,59.2558853529,22.1271623962,79.05314262350001,12823813272.18105,251083485.3195039,180870444.2219709,40805313480.53429,34330.73052210847,51.31300709559149
rdt_24_32_11_2_1_specjbb2015_sepcjbb_lp_100_50.sh,39312,38104.33702880001,30800,27009.9,2155.08093126,0,8400,738.554323725,0,8400,10.5203991131,0,24,32,11,2,specjbb2015,sepcjbb,100,50,4400,19400930.40133456,1584924.92994,7811.208050499999,1604737.82911,2293245.57942,270973.03794,0.00217778604586,0.006202942853890001,,2999.35613527,1196.24434943,43.1233928176,95.35506337913378,8.181861395619999,3.637344751884641e-05,304.621641124,0.0538636540259,0.0483617885505,52.4748306221,13309.42277270453,68.5694604881,68.16251192909999,19.999261958,78.34285822560001,5974481827.816193,124166830.9009841,76339255.05085245,37858569708.61372,214905.3834614034,48.48877845994964
rdt_24_32_11_3_1_specjbb2015_sepcjbb_lp_100_10.sh,39312,37888.9284333,27440,27751.7,2879.69129594,0,11424,1042.01160542,0,11424,11.1458413926,0,24,32,11,3,specjbb2015,sepcjbb,100,10,4300,20748783.94415332,1410348.63573,15956.3857478,1711851.8204,3746661.59288,369570.119405,0.00275120191315,0.00542583829044,,3085.66443767,1073.9795788,46.5243553787,96.47187605254294,12.8601571804,0,363.292082575,0.0446893708693,0.0419706835753,62.2990817855,24802.97474735883,67.72135673220001,63.837007675,11.950660543,90.47338933610001,11618085686.37632,225836358.7923667,162780122.559074,38322178007.05027,92461.60321325694,50.80535080558146
rdt_24_32_11_3_1_specjbb2015_sepcjbb_lp_100_100.sh,39312,38021.7185185,28560,27869.2,2835.72592593,0,10640,885.422222222,0,10640,10.0131481481,0,24,32,11,3,specjbb2015,sepcjbb,100,100,4300,21529753.09763107,1422248.34392,16005.03409,1777930.67673,3727236.24571,389558.594926,0.00223724886694,0.00598835259825,,3122.29426044,1256.95346363,65.0879934757,97.06496083193649,5.386761314069999,0.00144404097776399,434.181232995,0.0415254029248,0.0433114277089,60.8325306757,24411.00093407072,67.0208467362,61.4033969477,26.2629365677,88.84196860809999,11870936341.94294,234896985.0462148,162924904.4998818,40429861276.30786,26165.45197260642,51.02663514277248
rdt_24_32_11_3_1_specjbb2015_sepcjbb_lp_100_20.sh,39312,38003,20608,25574.1,2215.21898148,0,17472,866.962962963,0,17472,9.35277777778,0,24,32,11,3,specjbb2015,sepcjbb,100,20,4300,23177966.06133566,1590133.08088,9060.7906656,1915351.31421,2837705.97266,320993.21851,0.00272390928448,0.00658070944926,,2865.99595072,1333.69938303,53.1836422651,95.45152788964623,11.5964701746,0,454.246139699,0.0317789459045,0.03272468753259999,53.4857944996,14801.98692391469,66.65800454779999,65.3980483177,14.8462562753,86.4088591283,7185217329.814883,150525564.0747666,63634983.33944162,38413807930.17719,36166.13130317538,48.91549996919234
rdt_24_32_11_3_1_specjbb2015_sepcjbb_lp_100_30.sh,39200,37842.16018309999,21504,22930.4,2341.28947368,0,16800,1082.06864989,0,16800,10.723798627,0,24,32,11,3,specjbb2015,sepcjbb,100,30,4400,19296854.41832781,1479059.38834,9689.33414272,1594793.93247,2426072.6124,343654.433746,0.00819061087374,0.00921597024569,,2952.37899879,1316.77626774,46.93755551109999,96.4781608700102,5.50318776418,0,327.180746189,0.091739993685,0.0634578657823,53.6253783681,17792.36573973396,68.85582742220001,63.8197577741,22.298859351,92.0833021543,8609798459.340694,175618350.9219918,100726262.8325864,37829387189.28483,117595.6426539094,49.20570867597224
