,_HP_LLC_MAX,_HP_LLC_MEAN,_HP_LLC_MIN,_HP_MB_MAX,_HP_MB_MEAN,_HP_MB_MIN,_LP_LLC_MAX,_LP_LLC_MEAN,_LP_LLC_MIN,_LP_MB_MAX,_LP_MB_MEAN,_LP_MB_MIN,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt_24_32_11_11_1_specjbb2015_stream_100_10.sh,21392,4952.70927835,112,20421.4,2999.98247423,0,38640,33577.6,16688,38640,19490.7880412,0,24,32,11,11,specjbb2015,stream,100,10,4600,20057417.21283175,1163271.18502,11979.0061489,992661.186741,3002145.00362,331080.403139,0.00897579321309,0.00654503598298,,4438.902751899999,5216.54061908,166.453008931,73.8244767710808,96.7097990603,0.0005601573102327445,356.667128533,0.0722058280106,0.0711085301369,65.0118771116,50742.34427934717,66.9648908973,49.3805940764,25.2303818237,71.2017004039,34913087246.61793,550743326.8145542,256253427.6024732,87454051428.59668,582.0948104792262,63.39266505243346
rdt_24_32_11_11_1_specjbb2015_stream_100_100.sh,25424,3073.83206107,112,13265.8,2793.86194111,0,38752,35647.0229008,13664,38752,51555.744602,0,24,32,11,11,specjbb2015,stream,100,100,7400,16130613.35570819,607483.93386,8715.8896657,392553.5185,3286927.51022,242379.731703,0.00778932081677,0.005963428760039999,,3210.70737777,5347.74299018,158.383906921,76.6282342909785,97.8305638042,71.75367499147555,332.014604232,0.06578823288430001,0.0883501190506,82.2322159814,94415.09134001752,67.4154867271,37.0144214415,42.0386242743,76.1340111915,246809895212.7342,1063758572.079696,468011462.200577,214479523841.5879,744.0265010165921,245.5608724978985
rdt_24_32_11_11_1_specjbb2015_stream_100_20.sh,15568,4397.35682819,336,16443.2,3061.40242291,0,38416,34145.4449339,22848,38416,29280.0746696,0,24,32,11,11,specjbb2015,stream,100,20,4700,19078194.29604397,948152.1716209999,9047.73684297,707762.88767,3036872.0836,304356.467523,0.008399971943370001,0.00590032531101,,3680.53637623,4701.96129532,164.103120109,73.61018976628762,97.01528560790001,0.00259252419495664,330.576121789,0.05959328567409999,0.0783324464901,70.6803278552,68357.68652285014,67.1133197249,45.3380859315,27.1507443652,72.97711958949999,80173112687.3774,735411868.6339585,320305257.4026002,185971738261.209,845.1642897696049,109.6984136397616
rdt_24_32_11_11_1_specjbb2015_stream_100_30.sh,17472,3879.4,224,14541.8,3002.48291667,0,38864,34946.1,20832,38864,43129.8420833,0,24,32,11,11,specjbb2015,stream,100,30,5500,18478106.77210424,836786.4545550001,7904.77939238,627875.857389,3327477.62936,271928.574868,0.00860949944732,0.00634735458267,,3209.06437241,5247.36391478,158.683222166,62.30142821955531,97.64231792780001,3.184179436550709,341.163438642,0.0443764005423,0.07532647256130001,75.2311946797,88929.89538275797,66.6724293432,38.1920182926,39.1873393173,53.7916236105,199240776551.2809,971538939.7170061,436994588.9125631,216400356077.8036,909.8205557894188,205.9322109276788
rdt_24_32_11_11_1_specjbb2015_stream_100_40.sh,22512,3313.13043478,336,13620.5,2915.05054348,0,38528,35369.4782609,16128,38528,50679.573913,0,24,32,11,11,specjbb2015,stream,100,40,6800,17532080.49902276,728225.394704,10452.5850334,480163.965104,3146228.09988,286087.351867,0.00833374547743,0.00636462588294,,2741.67312621,5421.52229705,162.736271071,77.56602207648098,97.7661994249,35.71714768436462,327.802311964,0.0716200126359,0.080570065725,77.8297422754,94204.06614715373,68.0208223693,36.6955776484,39.3996638661,76.5804830334,248376085705.2715,1062249280.765708,462431672.2443708,216559585472.6204,760.9555616194406,245.9800481969415
rdt_24_32_11_11_1_specjbb2015_stream_100_50.sh,24304,3341.66939444,112,13554,2832.09476268,0,38752,35373.4860884,13104,38752,50878.7567921,0,24,32,11,11,specjbb2015,stream,100,50,7100,16506128.92460104,652598.399794,8024.4331668,436774.5688979999,2998301.256,184248.499389,0.00820465060695,0.00609881110823,,3051.8737208,5798.06503368,165.26153759,75.00595727368588,97.8309453088,50.18615069471469,410.784204293,0.0472498034939,0.06366263776219999,79.11957735,93985.76866390488,68.0444646237,35.2735884353,41.4103809025,74.4546873498,244639157993.1341,1056203435.937915,459938647.9761824,215100368364.2726,753.0162818665434,242.943569831302
rdt_24_32_11_1_1_specjbb2015_stream_100_10.sh,36400,32769.3645485,2800,8827.4,2511.79331104,0,33152,5413.83277592,2016,33152,17954.9516722,0,24,32,11,1,specjbb2015,stream,100,10,5000,14686395.10552369,1156069.52301,9953.72171121,1004353.76586,3110202.89814,290681.384817,0.00804689683475,0.00593643489327,,4440.86612451,5399.47094655,135.339683613,71.90577322500046,97.99479271290001,3.33505864677908,344.56999457,0.09311171583630001,0.08005000470089998,66.19170931800001,43167.14991614896,68.7292725799,55.698151836,26.2436754942,68.123976283,27964116712.24352,471154793.0634838,231229798.4654078,65573545041.65621,466.4431247256342,59.77919636459225
rdt_24_32_11_1_1_specjbb2015_stream_100_100.sh,35616,32161.0463734,21056,4294.1,2207.03638526,0,16128,6222.45897741,2240,16128,27650.6533888,0,24,32,11,1,specjbb2015,stream,100,100,640000,9748285.720859237,743799.427928,5736.09912099,590545.395087,2810100.61777,155168.728034,0.00744198995571,0.005765997318640001,,2059.70904063,5970.26054495,110.154978887,74.13349665111441,98.4455153055,46.70565068177687,261.730020973,0.0397460574492,0.053121828999,73.0887701139,89337.85842722416,69.39541431479999,42.4268466832,47.572217581,68.940098564,220532568818.6011,986422894.7774047,418992159.487689,196111417944.3846,725.1358456608658,225.705736681658
rdt_24_32_11_1_1_specjbb2015_stream_100_20.sh,35840,32999.8733813,22624,6823,2450.6694964,0,13552,5108.48920863,2464,13552,23273.021295,0,24,32,11,1,specjbb2015,stream,100,20,6300,14186968.64452733,1116216.21596,8701.97453457,940800.99696,3130811.83987,209821.113222,0.006933068712640001,0.004986314841890001,,3668.37312153,4941.76590718,103.314944086,72.53948173021386,98.2556426993,12.08341582450264,283.688482753,0.033910041951,0.04988707658080001,66.5496526946,52499.95850688605,65.702370066,53.73754142729999,28.5010968506,68.6625627916,37936401503.92129,572709453.2296048,258774638.6572496,98841112247.30928,591.8344192703388,70.10825644526564
rdt_24_32_11_1_1_specjbb2015_stream_100_30.sh,36064,32769.9555556,12096,6310.1,2328.04920635,0,20384,5604.26666667,2800,20384,31049.1420635,0,24,32,11,1,specjbb2015,stream,100,30,6800,14195916.83078154,1049846.19721,7789.30655076,979267.519019,2830084.79609,234962.426862,0.00637481506321,0.00478854474066,,2947.37329487,5026.25089322,109.356806657,61.69143007725195,98.5684790736,11.81229862999964,282.363754185,0.0422971712266,0.0541759983336,64.3351796255,74468.50771310816,65.092542294,55.6887233304,38.7842344578,44.833760924,113880545022.1944,823752301.7296933,352655879.5091465,192842202757.7871,866.5839475948642,141.3173740643851
