,_HP_LLC_MAX,_HP_LLC_MEAN,_HP_LLC_MIN,_HP_MB_MAX,_HP_MB_MEAN,_HP_MB_MIN,_LP_LLC_MAX,_LP_LLC_MEAN,_LP_LLC_MIN,_LP_MB_MAX,_LP_MB_MEAN,_LP_MB_MIN,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt12_4411111specjbbstream10010.sh,18704,8382.25061425,1008,10687.4,6292.97346437,0,38080,29841.3955774,20384,38080,27489.8153563,0,12,44,11,11,specjbb,stream,100,10,284419.84,136851584.5987286,12637483.3928,11950.7414998,21251559.7847,12088303.1568,156707.07875,0.0830523909684,0.0553845817243,,884.19553875,5910.38995485,137.304250747,76.22334412066624,96.97361270110001,0.001019018808990067,155.141950209,0.0145524990458,0.0309763997056,33.6953611873,58288.66057527625,53.9128457671,75.2460057336,25.6366394878,72.2097594879,49049237032.3774,639634362.6604147,286124524.147723,138081743884.9701,757.5696499267655,77.39941861175916
rdt12_4411111specjbbstream100100.sh,16240,3072.17647059,448,6751.7,3449.34105392,0,38416,35574.41176469999,21952,38416,50794.72107840001,0,12,44,11,11,specjbb,stream,100,100,98864.55,29592347.61102895,2181328.3697,2706.83755476,2875920.58857,7401492.20532,78278.165779,0.054556899597,0.03811845928050001,,258.461784936,6339.47503233,140.496126215,69.22972101262303,97.60273512799999,80.93355709152962,232.050135411,0.149954189928,0.1366192474,64.6835620938,93906.09665546025,51.2734812517,37.1085489281,37.3824314753,75.4355577253,246151169978.2932,1055676556.256172,449609264.6190676,213888319826.5551,760.2097191513152,243.0287191246572
rdt12_4411111specjbbstream10020.sh,14224,5115.81326781,560,8953,6384.43366093,0,38528,33271.1547912,22624,38528,40741.4514742,0,12,44,11,11,specjbb,stream,100,20,216547.96,87914320.31357141,8599116.191310002,8694.17695346,12750701.9126,11656776.4358,128075.668913,0.0704529681525,0.047647663547,,644.0332401630001,6188.21008172,146.057217706,72.79373660652523,97.3257223944,0.1318604117182067,206.770361799,0.0390674168033,0.0613042271693,43.86522704430001,81042.14591139273,52.6978123709,63.9595284793,28.0844014952,76.0998523758,148487687035.2819,892451623.2120851,388509547.3646021,212250606649.3572,903.5584012925793,168.7754001612587
rdt12_4411111specjbbstream10030.sh,13216,3904.74601227,448,8408.3,4338.0998773,0,38528,34762.4638037,24864,38528,48952.2471166,0,12,44,11,11,specjbb,stream,100,30,125849.63,40751933.38525613,3398122.10737,4301.31132833,4914269.82137,8852344.95835,95735.77236799999,0.06021643187999999,0.0417388061203,,416.633886553,6503.81349424,175.26870502,65.2278837012852,97.66531037370001,28.59239145202372,221.959391437,0.100068103218,0.100399544473,58.6001176044,92081.22262900214,51.70867631189999,44.5704899215,36.9678895893,69.24299413140001,235209469171.1388,1037020345.033326,441925875.6941705,216348137951.1133,786.1570525998145,236.1209985556719
rdt12_4411111specjbbstream10040.sh,11984,3030.45889571,224,8016.8,3960.74858896,0,38528,35669.4576687,28224,38528,50439.4752147,0,12,44,11,11,specjbb,stream,100,40,109389.34,32835016.86911602,2554169.91491,3737.4350765,3455494.58424,8266162.53822,87632.02637230001,0.0566213883538,0.0391780909764,,269.071554375,7192.55996616,155.227832728,68.20075880315119,97.60592580069999,57.51989172368287,202.901511014,0.124669043595,0.123443709387,64.3008843793,93517.40002274676,51.6532702712,37.801774844,36.6470113305,74.333557727,246229837457.102,1052557975.573226,448656532.071603,214380501660.6055,763.6591445021187,243.8523099208435
rdt12_4411111specjbbstream10050.sh,16464,3248.54969325,336,7419.1,3770.35312883,0,38640,35597.0355828,21504,38640,49975.8123926,0,12,44,11,11,specjbb,stream,100,50,106485.92,31527390.26556188,2441527.41972,4315.93680198,3292949.19357,8101571.848230001,93538.88447610001,0.05639177536619999,0.0393930436168,,312.256526968,5779.88439328,122.999613944,67.520659598943,97.6404499812,67.58967108208724,175.637687948,0.126752449625,0.119990876989,64.4219084596,92873.28837234461,51.3969618691,37.5438538702,37.2966478763,73.7483719235,238232929256.5824,1043665769.043682,444981905.4813632,213044060708.9033,762.2183500910587,237.3499992098788
rdt12_441111specjbbstream10010.sh,35392,29875.130762,5824,5036.1,2119.04778928,0,25648,5336.2784572,2240,25648,17008.178269,0,12,44,11,1,specjbb,stream,100,10,194510.11,74590326.88964535,7421020.169310001,7641.51044701,12026516.5729,5691403.29565,152323.986097,0.0144197694031,0.00972620009858,,729.47269013,5998.7233724,138.127827816,74.27705418261839,97.9796658825,2.192597586483528,128.279514849,0.00780153136362,0.0183559468241,29.0879076184,38218.20640475051,54.0653481343,75.8684086529,24.7046268848,69.48363382560001,22842540241.38033,419967476.8656804,192347848.9923262,47851550193.95416,440.2675382595464,54.73147427728717
rdt12_441111specjbbstream100100.sh,35504,26475.4565483,10528,3726,623.424847001,0,20832,10733.0820073,2688,20832,10285.0373317,0,12,44,11,1,specjbb,stream,100,100,33553.08,15928818.17538051,1489145.26721,2368.54909427,2459066.9974,1631300.1411,97086.6906058,0.0398011115966,0.0300108588416,,361.733622939,10710.5039956,301.264871978,65.66681080054288,98.17500086780001,26.43712295671628,217.55803752,0.0487567776038,0.0837467634077,34.1942626223,41067.70557227256,53.5667915326,64.8216797829,50.3353481574,62.37227677,43745921727.59908,435310948.576486,210538101.5202912,67626363924.54501,615.4346301503333,110.8840433574147
rdt12_441111specjbbstream10020.sh,35728,26905.3921569,11536,5035.6,930.6285539219999,0,20832,10042.9411765,2128,20832,10240.5127451,0,12,44,11,1,specjbb,stream,100,20,53646.26,25326471.91133619,2317480.10868,3485.05929405,3985638.94859,2397876.92006,85466.4771335,0.0509503670314,0.03561491275230001,,503.762226641,10974.428317,304.38514089,68.09385085072402,98.0204372137,21.51871743240649,250.203288089,0.034612647207,0.0550754552778,32.6390463984,33282.78259098296,53.4456049911,67.3228039974,34.16833122969999,62.4581608717,22223650710.95141,382623512.4248711,166854940.140606,51992565824.93691,479.5520811713466,57.49928757528446
rdt12_441111specjbbstream10030.sh,36064,25774,7840,4776.8,875.664093137,0,23408,11381.8627451,2800,23408,11617.4828431,0,12,44,11,1,specjbb,stream,100,30,52704.45,25687335.40985221,2430472.02353,2080.0780725,4072057.33961,2251597.22323,72854.711341,0.04905075544530001,0.0351769087646,,458.114937879,11342.8270951,339.884363715,59.73504083247426,98.19991849700001,17.70943009032693,265.273641192,0.0382679491637,0.078645044727,31.2389231398,37194.55440757691,54.0569531903,70.1835442175,38.2281127574,36.00572024989999,28154315057.57295,412510277.9930168,199597096.537668,67133667805.17117,534.1273532625754,68.67437592500822
