,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt_32_24_11_11_1_specjbb2015_stream_100_10.sh,32,24,11,11,specjbb2015,stream,100,10,3700,18908854.88517668,974601.5957370001,8041.88352821,783546.248077,1966689.64912,192334.616382,0.002763382072050001,0.00233092648693,,5375.75101299,5137.04922281,203.071863317,77.34021878695778,96.6413192341,0.0005793995483463838,396.222258386,0.0256793377932,0.0338466146115,61.6161932655,41298.47808671122,64.0493301082,58.4022858631,25.2562980776,70.9307444278,25897327397.76187,463938602.3492254,198202337.7107954,54361395679.26325,459.1263727600381,57.28773823395986
rdt_32_24_11_11_1_specjbb2015_stream_100_100.sh,32,24,11,11,specjbb2015,stream,100,100,5500,16906639.27801316,579171.7542979999,9347.48477016,363809.958613,2629179.72482,223417.408282,0.00241815589574,0.00228613660929,,3255.23225441,5196.06324146,164.912624433,76.80370185599098,97.8831275583,44.36453861101651,408.583457633,0.0613621018454,0.0599929642179,79.3566381402,95299.58066619563,62.563418619,38.8907600281,48.0504336214,76.12887272409999,248840542755.0676,1082109838.115297,467108039.7631559,214650910973.1807,748.4180778352232,244.2367706414821
rdt_32_24_11_11_1_specjbb2015_stream_100_20.sh,32,24,11,11,specjbb2015,stream,100,20,3800,20448460.3330124,931650.318666,7616.1920918,741687.807517,2400650.76859,275204.412402,0.00191616613163,0.00185639729399,,3509.22549644,4993.73233206,206.543938703,74.32967111113369,96.8935643984,0.003545491677778941,356.334870257,0.0296488628827,0.0403020894422,66.7759363371,50917.02232377616,69.348922324,53.2172111824,27.106290048,72.203697437,36315131202.5877,548345128.5357896,240108985.701711,77828570030.6157,590.3368442125102,64.66918368074141
rdt_32_24_11_11_1_specjbb2015_stream_100_30.sh,32,24,11,11,specjbb2015,stream,100,30,4000,19152824.27898533,761218.266931,6712.39161692,587598.359755,2227852.39964,185292.870929,0.00207012308937,0.0018244428733,,5531.15170017,4007.65844801,164.783560909,66.7832141669255,97.473520257,0.02920966284352339,421.426784387,0.0631935143051,0.106202346323,69.1582286774,72019.74023404067,63.5932375197,47.6766893832,37.6511339514,42.2794828529,88610627400.12312,782959167.9283798,344426261.3631595,193384717847.283,875.2203464391893,116.9431971260412
rdt_32_24_11_11_1_specjbb2015_stream_100_40.sh,32,24,11,11,specjbb2015,stream,100,40,5000,17709302.76293026,619099.544324,10784.3043351,402934.9742760001,2696747.17089,262235.657827,0.00239583615006,0.00229771097363,,3629.15627409,5650.0139252,156.748062457,79.56599695114656,97.7563075119,13.80514316795207,336.059662041,0.0488258851566,0.07406355147219999,78.7614156424,93275.06251435916,64.9823670593,39.05226329,39.987126735,78.5334541772,234288228310.5233,1024286396.59068,455390831.6062415,216758721970.3971,813.3584177477562,235.6734662826204
rdt_32_24_11_11_1_specjbb2015_stream_100_50.sh,32,24,11,11,specjbb2015,stream,100,50,5200,16518179.8442379,567947.618687,11903.8102873,352251.389133,2481466.53789,252123.607675,0.00206414848424,0.00192534071721,,4450.25965177,5123.32429036,184.121402285,74.28502682941776,97.8684495184,23.38442141095975,416.812662113,0.0414225727462,0.0447831971786,79.0435800861,93849.08273935724,63.97942620479999,38.1157068078,44.7115904282,73.3227492723,245496540742.2845,1050653103.253251,458645387.7205572,216059014572.2509,772.8831848265945,239.791833485344
rdt_32_24_11_1_1_specjbb2015_stream_100_10.sh,32,24,11,1,specjbb2015,stream,100,10,3800,17547271.88352739,1012262.93544,9089.01329524,953704.308413,1787771.66793,225573.491392,0.00236520619193,0.00207185590438,,2174.96906568,4606.65382011,139.36157289,72.70208734855315,97.86903113620001,0.5121077969759584,310.686809286,0.0401711938941,0.05225746836880001,55.2911066092,37974.13756308168,63.077278361,60.4017925271,25.0624382081,68.1644256722,24143338771.3478,410138933.1883813,193651747.0818314,72400188027.0545,813.3892797315402,56.22799480897973
rdt_32_24_11_1_1_specjbb2015_stream_100_100.sh,32,24,11,1,specjbb2015,stream,100,100,5500,14209628.57490923,790730.516398,7590.43955141,652594.464138,2310557.97275,214571.454013,0.0015267350106,0.00169996367127,,2947.28890391,4691.90182707,106.542312966,75.58312734968557,98.5193456803,22.93112765388979,327.174776793,0.0658838118827,0.0621479932527,67.7640103754,93122.49933779276,65.9757534792,52.8879554933,48.8922458578,72.6764203063,227040989833.3236,1049583766.477832,440193338.424468,207386615128.3727,745.710573484084,223.4496392020861
rdt_32_24_11_1_1_specjbb2015_stream_100_20.sh,32,24,11,1,specjbb2015,stream,100,20,3900,16384051.32002293,1053902.08399,12137.8122444,854236.051688,1882791.96357,277596.62542,0.00199559715703,0.00179108818696,,5538.01132964,15805.4595181,640.930165569,74.85678284218359,98.3137912784,2.802396308197648,391.312114518,0.0447720170671,0.0553348183527,59.15020492430001,47643.89614107292,69.56029353529999,61.52464521989999,26.7669961628,69.7567770166,31422570762.50678,513206134.1374171,229669502.3141436,69449543406.13037,507.2568196532296,61.78072570967218
rdt_32_24_11_1_1_specjbb2015_stream_100_30.sh,32,24,11,1,specjbb2015,stream,100,30,4000,15675770.93871823,1059009.99131,10649.6187477,841063.009384,2207056.15798,251903.264801,0.00136942034727,0.00131731442986,,2945.26878706,5589.41199066,128.660315476,59.48517660716433,98.6398767002,5.838562728580182,316.932966153,0.0681375060081,0.0535621889659,63.3689296619,64208.7392610084,67.9801820255,58.8471431503,38.94291067530001,39.6419376825,67767337386.22147,709221444.1311479,322639975.8476546,165610626624.1849,841.6258919385954,103.3333912462189
