,_HP_LLC_MAX,_HP_LLC_MEAN,_HP_LLC_MIN,_HP_MB_MAX,_HP_MB_MEAN,_HP_MB_MIN,_LP_LLC_MAX,_LP_LLC_MEAN,_LP_LLC_MIN,_LP_MB_MAX,_LP_MB_MEAN,_LP_MB_MIN,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt4_5211111specjbbstream10010.sh,17808,3024.68796069,448,3194,2201.42899263,0,37968,35261.83783780001,20048,37968,31736.6051597,0,4,52,11,11,specjbb,stream,100,10,76855.37,47362613.97887811,10787816.723,6315.796161,17683402.0821,10680848.2186,145731.074482,0.0809914793926,0.0536594998157,,782.7736485410001,7623.34722709,196.473887376,74.30457365164726,96.75458706190001,0.1067662104366381,245.367281223,0.0181037879914,0.0338440277527,34.7501468005,60227.92361031054,54.2868412116,73.919166185,25.5758121922,72.5379159288,55655732215.48888,662221042.1791563,289481410.4623483,155325759995.0815,834.8862287872523,85.18702717408364
rdt4_5211111specjbbstream100100.sh,14224,1280.92269939,0,2179,1253.39852761,0,38640,37362.2380368,19936,38640,52498.5173006,0,4,52,11,11,specjbb,stream,100,100,24757.53,17959815.61177877,1500786.39604,962.531822141,1967649.82053,5951671.80185,88481.6066103,0.0683968736873,0.04778321190380001,,300.184603248,7446.29249215,201.794857074,73.88625082746711,97.4251986269,82.97324446720451,248.367428592,0.220934303061,0.152640959124,66.6295374431,93585.10471812416,53.2559187222,31.000299397,36.3637602586,75.1222032023,243858108574.685,1044367988.526179,449551107.8251666,212127977144.7198,748.8842028936659,241.8363030444848
rdt4_5211111specjbbstream10020.sh,25200,1405.64127764,0,2913.1,1624.82714988,0,38976,37024.2555283,10304,38976,47003.1997543,0,4,52,11,11,specjbb,stream,100,20,43914.38,25953416.18460721,3860190.24805,3118.31036623,5876807.24875,9408937.63767,117451.276661,0.0741999338326,0.051023467588,,540.387872871,7011.09677422,194.707351348,75.40195574245054,97.19102218629999,2.372685441565252,218.658564641,0.09257539092480001,0.0916319162305,55.6563771685,86995.73497548181,54.1735803153,47.14255131319999,28.1425540504,76.9866933366,190987177491.2023,956508784.7584492,414530899.6400942,215422222762.1151,844.1949633977656,201.9434465345176
rdt4_5211111specjbbstream10030.sh,23072,1265.25644172,0,2689.8,1290.95092025,0,38864,37256.55950919999,14560,38864,51221.3230675,0,4,52,11,11,specjbb,stream,100,30,30524.18,19742194.36058927,2089909.75838,1927.4403746,2977821.90645,7277722.155560001,95648.93897419999,0.07134055236260001,0.0500784366525,,287.018841275,7790.31606105,207.379985653,69.68232365573398,97.38658386030001,41.48162808848232,290.110120696,0.160670826002,0.130307087458,63.8993923866,92121.25097936015,56.7633075663,35.237616412,38.3455338894,70.8659902469,237096609744.8448,1030736137.364348,439072194.2405053,214507053705.0918,774.6812040673759,236.9423031882864
rdt4_5211111specjbbstream10040.sh,21840,1292.74110429,0,2707,1245.98748466,0,38752,37364.84907980001,15792,38752,51991.1241718,0,4,52,11,11,specjbb,stream,100,40,28042.25,18552613.80369943,1748091.91474,1427.37216462,2354213.64718,6735520.236,98222.265495,0.0702682791707,0.0486396716581,,280.723358894,7925.08583365,214.435270832,71.61723578650759,97.42601686100001,64.75565404045061,250.555306502,0.186256374461,0.135673360278,66.2009952686,93152.44266421099,53.51063676810001,31.7406293518,36.552136656,73.09773583479999,242712332211.9137,1043621184.277029,449244986.8407847,212835280377.5129,758.3762124344033,241.9818260753846
rdt4_5211111specjbbstream10050.sh,19376,1266.63067485,112,2775.3,1213.1007362,0,38864,37304.9325153,18032,38864,52406.11484659999,0,4,52,11,11,specjbb,stream,100,50,27481.81,18344692.20937673,1676438.47164,1344.64703652,2218137.42766,6763192.17197,89695.0407623,0.07003311812860001,0.0487574806724,,320.861156752,7858.068319499999,204.899184066,71.43975820752874,97.4266787953,72.33935746400134,295.861554622,0.192614014825,0.140341789583,67.3276476171,93793.47603935144,53.4600379609,31.5783713836,36.4686828557,72.8182231706,246014901239.2365,1045178369.31852,448107784.6257628,212684820927.9846,747.3650964256813,243.0542443708945
rdt4_521111specjbbstream10010.sh,35280,17939.0784314,4368,2661.1,352.021568627,0,26992,19780.0784314,2352,26992,10229.4308824,0,4,52,11,1,specjbb,stream,100,10,19348.24,11331090.41660883,2861449.60183,1066.84689299,4994712.05816,2423950.7038,41543.8423661,0.0567937105255,0.0404788742399,,372.758271141,12048.6150875,312.211285888,68.2767976997069,98.0125536875,18.27153538108621,233.490548444,0.019808504792,0.031535989417,28.7653073482,33718.28815856154,55.0544206508,69.263720304,34.2039810962,62.4672237859,18396978456.10351,347813288.536073,161004043.123266,45568554467.80952,553.8538522484099,53.66087459609443
rdt4_521111specjbbstream100100.sh,35728,19318.0219245,4032,2240.9,213.646894032,0,27328,18684.4920828,2352,27328,11013.9411693,0,4,52,11,1,specjbb,stream,100,100,9290.54,6347301.952857758,1433015.9795,648.634898793,2573498.1026,1402095.35164,37056.63742209999,0.0406445513152,0.0310859851748,,416.478199545,12459.1861819,351.564714684,66.01807381040467,98.1670676769,28.27273195669726,289.954231645,0.0275996422031,0.0407461903789,30.517393308,56898.26567784321,56.9742761227,64.3323643538,51.28815072899999,61.0668655783,70731400128.80658,553475797.0366309,266915478.3237802,100853172144.6668,656.2628447754822,136.74734797777
rdt4_521111specjbbstream10020.sh,35616,19042.3304774,5040,1830.3,291.332068543,0,28336,18842.4577723,2576,28336,10147.8931457,0,4,52,11,1,specjbb,stream,100,20,14575.09,9290053.96387086,2208216.88678,735.7504849430001,3993539.78791,1923755.44157,42320.1692044,0.0513117405226,0.0370421414434,,247.676685188,12065.1142352,345.759841041,68.60879931655684,98.080751653,20.32248959321024,197.483881048,0.0231839165234,0.0344701183445,28.4907984518,37060.25277636428,55.4876293424,67.60586442510001,36.3096156467,60.66682100479999,22978196897.34925,406166375.8635165,185195722.3747223,56845045062.38763,496.0732301574616,59.66316780678189
rdt4_521111specjbbstream10030.sh,35952,18003.0746634,3808,1772.3,290.116646267,0,29232,20161.9192166,2576,29232,11834.7361077,0,4,52,11,1,specjbb,stream,100,30,14200.05,8932415.143773617,2144055.55646,981.8814929560001,3886444.28097,1825210.1466,36327.7067362,0.049129638798,0.0355250797284,,285.928471156,12014.0172872,340.52767651,60.65812625233815,98.2703052785,20.55737486732128,223.138050382,0.0253783132057,0.0371958370654,28.1337775441,43116.07575321364,55.400562248,69.2485568513,38.8887171391,37.7149259327,38867188546.06746,467671672.280974,214401545.5887009,83231127542.35745,588.9054717944999,86.5170609245319
