th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
0.0,0.0,0.0,-25.0,-24.9907125,-14.0,-2.0,0.0001375,2.0,0.0,2.238675,19.0,8,16,0,25,15
0.0,0.0,0.0,-85.0,-83.8649625,-68.0,-3.0,0.0002875,5.0,0.0,2.1783375,20.0,8,16,0,85,9
0.0,0.0,0.0,-25.0,-24.7695,-13.0,-2.0,-2.5e-05,2.0,0.0,2.2486125,19.0,8,16,0,25,13
0.0,0.0,0.0,-85.0,-84.9908,-74.0,-2.0,0.0001875,2.0,0.0,2.1839625,19.0,8,16,0,85,15
0.0,0.016375,10.0,-5.0,-3.1896125,13.0,-6.0,0.00175,4.0,0.0,2.233375,19.0,8,16,0,5,4
0.0,0.0,0.0,-25.0,-23.8737375,-10.0,-3.0,0.0001875,3.0,0.0,2.2596375,19.0,8,16,0,25,9
0.0,0.0,0.0,-25.0,-23.189825,-6.0,-7.0,0.002575,5.0,0.0,2.225725,22.0,8,16,0,25,4
0.0,0.0,0.0,-25.0,-23.0555375,-7.0,-7.0,0.0015625,6.0,0.0,2.2603375,19.0,8,16,0,25,1
0.0,0.0,0.0,-85.0,-83.40715,-67.0,-4.0,0.0008875,5.0,0.0,2.2029375,19.0,8,16,0,85,6
0.0,0.0117875,8.0,-5.0,-3.6624625,12.0,-4.0,-0.0001125,3.0,0.0,2.20765,19.0,8,16,0,5,8
0.0,0.0154,10.0,-5.0,-3.08165,13.0,-6.0,0.0024625,5.0,0.0,2.2554875,19.0,8,16,0,5,1
0.0,0.0,0.0,-85.0,-83.688025,-69.0,-5.0,-0.0002375,4.0,0.0,2.1807875,19.0,8,16,0,85,8
0.0,110.1958625,255.0,-1.0,0.2314875,15.0,-3.0,3.75e-05,3.0,0.0,2.277975,19.0,8,16,0,1,9
0.0,140.9471,255.0,-1.0,0.9210125,15.0,-6.0,0.0013625,5.0,0.0,2.225525,17.0,8,16,0,1,1
0.0,0.0,0.0,-85.0,-83.09725,-66.0,-8.0,0.0020875,6.0,0.0,2.1904375,20.0,8,16,0,85,1
0.0,142.812325,255.0,-1.0,0.848525,17.0,-7.0,0.0008625,5.0,0.0,2.2301875,20.0,8,16,0,1,4
0.0,0.0428875,8.0,-1.0,-0.6673,12.0,-2.0,0.0002,2.0,0.0,2.241375,19.0,8,16,0,1,13
0.0,0.03505,7.0,-1.0,-0.98985,9.0,-1.0,3.75e-05,1.0,0.0,2.2486875,19.0,8,16,0,1,15
0.0,0.0,0.0,-25.0,-23.7043125,-8.0,-4.0,0.0002875,3.0,0.0,2.21445,19.0,8,16,0,25,8
0.0,0.0056875,5.0,-5.0,-4.765325,8.0,-2.0,0.0001125,2.0,0.0,2.2784625,19.0,8,16,0,5,13
0.0,124.1313625,255.0,-1.0,0.291375,15.0,-4.0,-0.0001,4.0,0.0,2.196475,19.0,8,16,0,1,8
0.0,0.013275,9.0,-5.0,-3.494375,12.0,-4.0,0.0006,4.0,0.0,2.1597375,19.0,8,16,0,5,6
0.0,0.0,0.0,-25.0,-23.45185,-8.0,-4.0,0.0004,4.0,0.0,2.1823875,19.0,8,16,0,25,6
0.0,0.0,0.0,-85.0,-84.9404625,-72.0,-2.0,0.0,2.0,0.0,2.2197625,20.0,8,16,0,85,13
0.0,125.5986125,255.0,-1.0,0.385225,16.0,-5.0,0.0002625,4.0,0.0,2.1335625,19.0,8,16,0,1,6
0.0,0.0,0.0,-85.0,-83.1828125,-67.0,-5.0,0.0005125,5.0,0.0,2.2091625,19.0,8,16,0,85,4
0.0,0.0020125,3.0,-5.0,-4.98985,6.0,-1.0,0.0001125,1.0,0.0,2.2320375,19.0,8,16,0,5,15
0.0,0.0090375,7.0,-5.0,-3.8220625,11.0,-3.0,5e-05,3.0,0.0,2.160825,19.0,8,16,0,5,9
