sampleTime,pid_out,pid_budget,ewma_out,rpqocc
  0.13835,0,4294967251,0,0,
  0.14140,0,4294967251,0,0,
  0.14309,0,4294967251,0,0,
  0.14446,0,4294967251,0,0,
  0.14581,0,4294967251,0,0,
  0.14717,0,4294967251,0,0,
  0.14848,0,4294967251,0,0,
  0.14986,0,4294967251,0,0,
  0.15128,0,4294967251,0,0,
  0.15259,0,4294967252,1,2,
  0.15390,0,4294967252,0,2,
  0.15522,0,4294967252,0,2,
  0.15653,0,4294967252,0,2,
  0.15784,0,4294967252,0,1,
  0.15918,0,4294967251,4294967295,0,
  0.16051,0,4294967251,0,0,
  0.16182,0,4294967251,0,0,
  0.16349,0,4294967251,0,0,
  0.16498,0,4294967251,0,0,
  0.16640,0,4294967251,0,0,
  0.16782,0,4294967251,0,0,
  0.16919,0,4294967251,0,0,
  0.17044,0,4294967251,0,0,
  0.17166,0,4294967251,0,0,
  0.17287,0,4294967251,0,0,
  0.17411,0,4294967251,0,0,
  0.17541,0,4294967251,0,0,
  0.17664,0,4294967251,0,0,
  0.17789,0,4294967251,0,0,
  0.17943,0,4294967251,0,0,
  0.18095,0,4294967251,0,0,
  0.18236,0,4294967251,0,0,
  0.18371,0,4294967251,0,0,
  0.18507,0,4294967251,0,0,
  0.18701,0,4294967251,0,0,
  0.18830,0,4294967251,0,0,
  0.18970,0,4294967251,0,0,
  0.19107,0,4294967251,0,0,
  0.19230,0,4294967251,0,0,
  0.19353,0,4294967251,0,0,
  0.19474,0,4294967251,0,0,
  0.19586,0,4294967251,0,0,
  0.19663,0,4294967251,0,0,
  0.19771,0,4294967251,0,0,
  0.19875,0,4294967251,0,0,
  0.20008,0,4294967251,0,0,
  0.20136,0,4294967251,0,0,
  0.20254,0,4294967251,0,0,
  0.20371,0,4294967251,0,0,
  0.20443,0,4294967251,0,0,
  0.20547,0,4294967251,0,0,
  0.20654,0,4294967251,0,0,
  0.20761,0,4294967251,0,0,
  0.20867,0,4294967251,0,0,
  0.20991,0,4294967251,0,0,
  0.21115,0,4294967251,0,0,
  0.21185,0,4294967251,0,0,
  0.21300,0,4294967251,0,0,
  0.21410,0,4294967251,0,0,
  0.21542,0,4294967251,0,0,
  0.21681,0,4294967251,0,0,
  0.21805,0,4294967251,0,0,
  0.21924,0,4294967251,0,0,
  0.22035,0,4294967251,0,0,
  0.22140,0,4294967251,0,0,
  0.22221,0,4294967251,0,0,
  0.22326,0,4294967251,0,0,
  0.22414,0,4294967251,0,0,
  0.22482,0,4294967251,0,0,
  0.22579,0,4294967251,0,0,
  0.22698,0,4294967251,0,0,
  0.22765,0,4294967251,0,0,
  0.22873,0,4294967251,0,0,
  0.22981,0,4294967251,0,0,
  0.23071,0,4294967251,0,0,
  0.23175,0,4294967251,0,0,
