th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
0.0,178.8021625,255.0,-25.0,-1.7400875,79.0,-5.0,-0.0012375,14.0,0.0,27.1111875,169.0,8,16,0,25,15
0.0,47.7903375,74.0,-85.0,-9.0641375,52.0,-11.0,-0.0004125,17.0,0.0,80.543525,173.0,8,16,0,85,15
0.0,226.4077375,255.0,-5.0,17.962375,144.0,-24.0,-0.029325,79.0,0.0,23.5212875,168.0,8,16,0,5,4
0.0,87.59315,133.0,-45.0,-5.3821625,93.0,-13.0,-0.03255,34.0,0.0,41.0416,167.0,8,16,0,45,9
0.0,185.9553875,255.0,-25.0,-0.3199875,106.0,-11.0,-0.0104875,33.0,0.0,26.2057875,168.0,8,16,0,25,9
0.0,188.2102,255.0,-25.0,0.5486125,129.0,-26.0,-0.02485,78.0,0.0,26.2143,166.0,8,16,0,25,4
0.0,189.0407,255.0,-25.0,1.01805,134.0,-30.0,-0.0463875,104.0,0.0,26.4845625,167.0,8,16,0,25,1
0.0,88.631875,130.0,-45.0,-4.7043375,114.0,-25.0,-0.034675,54.0,0.0,40.998775,167.0,8,16,0,45,4
0.0,50.205175,77.0,-85.0,-8.266825,76.0,-24.0,-0.0805875,57.0,0.0,77.8941875,188.0,8,16,0,85,6
0.0,87.4791,136.0,-45.0,-4.6993375,115.0,-28.0,-0.002475,72.0,0.0,40.86595,168.0,8,16,0,45,1
0.0,50.1522625,74.0,-85.0,-8.927,81.0,-36.0,0.012775,76.0,0.0,76.7539,168.0,8,16,0,85,1
0.0,189.5330125,255.0,-25.0,0.209,111.0,-13.0,-0.010275,39.0,0.0,26.39405,169.0,8,16,0,25,8
0.0,83.1085375,124.0,-45.0,-4.8037875,71.0,-8.0,-0.0032125,13.0,0.0,44.455125,168.0,8,16,0,45,15
0.0,228.4674,255.0,-5.0,15.692025,87.0,-4.0,-0.00045,15.0,0.0,23.8309625,167.0,8,16,0,5,15
