sampleTime,pid_out,pid_budget,ewma_out,rpqocc
  0.09194,0,4294967295,0,0,
  0.09438,0,4294967295,0,0,
  0.09553,0,4294967295,0,0,
  0.09662,0,4294967295,0,0,
  0.09770,0,4294967295,0,0,
  0.09878,0,4294967295,0,0,
  0.09985,0,4294967295,0,0,
  0.10091,0,4294967295,0,0,
  0.10200,0,4294967295,0,0,
  0.10310,0,4294967295,0,0,
  0.10417,0,4294967295,0,0,
  0.10523,0,4294967295,0,0,
  0.10629,0,4294967295,0,0,
  0.10734,0,4294967295,0,0,
  0.10838,0,4294967295,0,0,
  0.10942,0,4294967295,0,1,
  0.11049,0,4294967295,0,1,
  0.11156,0,4294967295,0,1,
  0.11263,0,4294967295,0,1,
  0.11369,0,4294967295,0,1,
  0.11477,0,4294967295,0,1,
  0.11582,0,4294967295,0,1,
  0.11686,0,4294967295,0,1,
  0.11791,0,4294967295,0,1,
  0.11897,0,4294967295,0,0,
  0.12001,0,4294967295,0,0,
  0.12106,0,4294967295,0,0,
  0.12211,0,4294967295,0,0,
  0.12315,0,4294967295,0,0,
  0.12421,0,4294967295,0,0,
  0.12528,0,4294967295,0,0,
  0.12635,0,4294967295,0,0,
  0.12739,0,4294967295,0,0,
  0.12848,0,4294967295,0,0,
  0.12953,0,4294967295,0,0,
  0.13064,0,4294967295,0,0,
  0.13169,0,4294967295,0,0,
  0.13274,0,4294967295,0,0,
  0.13379,0,4294967295,0,0,
  0.13486,0,4294967295,0,0,
  0.13591,0,4294967295,0,0,
  0.13695,0,4294967295,0,0,
  0.13800,0,4294967295,0,0,
  0.13910,0,4294967295,0,0,
  0.14014,0,4294967295,0,0,
  0.14121,0,4294967295,0,0,
  0.14226,0,4294967295,0,0,
  0.14322,0,4294967295,0,0,
  0.14416,0,4294967295,0,0,
  0.14509,0,4294967295,0,0,
  0.14605,0,4294967295,0,0,
  0.14698,0,4294967295,0,0,
  0.14791,0,4294967295,0,0,
  0.14885,0,4294967295,0,0,
  0.14980,0,4294967295,0,0,
  0.15075,0,4294967295,0,0,
  0.15168,0,4294967295,0,0,
  0.15262,0,4294967295,0,0,
  0.15351,0,4294967295,0,0,
  0.15438,0,4294967295,0,0,
  0.15526,0,4294967295,0,0,
  0.15614,0,4294967295,0,0,
  0.15698,0,4294967295,0,0,
  0.15782,0,4294967295,0,0,
  0.15868,0,4294967295,0,0,
  0.15955,0,4294967295,0,0,
  0.16040,0,4294967295,0,0,
  0.16125,0,4294967295,0,0,
  0.16210,0,4294967295,0,0,
  0.16294,0,4294967295,0,0,
  0.16379,0,4294967295,0,0,
  0.16455,0,4294967295,0,0,
  0.16532,0,4294967295,0,0,
  0.16613,0,4294967295,0,0,
  0.16690,0,4294967295,0,0,
  0.16767,0,4294967295,0,0,
  0.16843,0,4294967295,0,0,
  0.16920,0,4294967295,0,0,
  0.16997,0,4294967295,0,0,
  0.17074,0,4294967295,0,0,
  0.17151,0,4294967295,0,0,
  0.17228,0,4294967295,0,0,
  0.17305,0,4294967295,0,0,
  0.17382,0,4294967295,0,0,
  0.17464,0,4294967295,0,0,
  0.17535,0,4294967295,0,0,
  0.17606,0,4294967295,0,0,
  0.17677,0,4294967295,0,0,
  0.17748,0,4294967295,0,0,
  0.17822,0,4294967295,0,0,
  0.17892,0,4294967295,0,0,
  0.17965,0,4294967295,0,0,
  0.18035,0,4294967295,0,0,
  0.18109,0,4294967295,0,0,
  0.18180,0,4294967295,0,0,
  0.18259,0,4294967295,0,0,
  0.18329,0,4294967295,0,0,
  0.18404,0,4294967295,0,0,
  0.18476,0,4294967295,0,0,
  0.18541,0,4294967295,0,0,
  0.18611,0,4294967295,0,0,
  0.18676,0,4294967295,0,0,
  0.18741,0,4294967295,0,0,
  0.18806,0,4294967295,0,0,
  0.18871,0,4294967295,0,0,
  0.18937,0,4294967295,0,0,
  0.19002,0,4294967295,0,0,
  0.19066,0,4294967295,0,0,
  0.19132,0,4294967295,0,0,
  0.19196,0,4294967295,0,0,
  0.19262,0,4294967295,0,0,
  0.19327,0,4294967295,0,0,
  0.19393,0,4294967295,0,0,
