th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
0,53.554775,255,-51,-16.89185,116,-28,-0.023325,10,0,34.4676,196,8,16,0,51,10
0,53.626725,255,-101,-65.570175,68,-54,-0.029625,24,0,35.645625,204,8,16,0,101,6
0,54.859575,255,-41,-6.74505,126,-30,-0.019025,12,0,34.695075,208,8,16,0,41,10
0,51.78695,255,-91,-57.140375,78,-8,-0.00265,11,0,34.37345,203,8,16,0,91,10
0,57.262875,255,-41,-4.74785,138,-15,-0.014875,27,0,36.4163,190,8,16,0,41,2
0,53.2137,255,-101,-66.615725,60,-6,0.004075,10,0,35.4612,209,8,16,0,101,15
0,62.902525,255,-21,18.163725,167,-14,0.000425,27,0,39.37045,202,8,16,0,21,2
0,57.22425,255,-51,-14.269125,127,-114,-0.017375,93,0,36.902375,204,8,16,0,51,2
0,55.5298,255,-51,-14.9425,121,-21,-0.002075,52,0,36.339425,218,8,16,0,51,6
0,52.1327,255,-101,-66.058425,65,-31,-0.0255,12,0,35.372825,206,8,16,0,101,10
0,56.536475,255,-61,-24.232775,121,-69,-0.03205,45,0,36.9246,212,8,16,0,61,2
0,119.509825,255,-1,32.915275,166,-28,-0.0031,36,0,34.33895,212,8,16,0,1,10
0,55.23525,255,-31,2.87395,134,-17,-0.007025,12,0,34.92285,198,8,16,0,31,15
0,52.8352,255,-81,-47.54305,80,-8,-0.0048,4,0,34.458425,202,8,16,0,81,15
0,53.067725,255,-71,-36.45245,94,-17,0.0098,21,0,35.760825,213,8,16,0,71,15
0,134.290375,255,-1,36.938,170,-10,-0.015925,10,0,38.100475,175,8,16,0,1,2
0,52.781975,255,-91,-56.48575,71,-18,-0.016725,6,0,35.322225,208,8,16,0,91,15
0,51.6312,255,-81,-47.1145,90,-19,-0.00435,74,0,34.133675,217,8,16,0,81,6
0,58.646225,255,-11,21.840675,156,-12,0.001025,31,0,33.320175,207,8,16,0,11,10
0,53.896725,255,-101,-64.548575,88,-27,-0.0032,55,0,36.6396,219,8,16,0,101,2
0,55.545225,255,-21,12.343575,149,-9,-0.003875,12,0,33.819725,210,8,16,0,21,10
0,55.34675,255,-51,-16.12405,113,-4,0.00785,13,0,36.10375,205,8,16,0,51,15
0,59.16765,255,-91,-52.250275,89,-95,-0.024825,39,0,38.919625,205,8,16,0,91,2
0,51.4341,255,-61,-28.373625,102,-8,-0.005175,8,0,33.705,215,8,16,0,61,15
0,53.994875,255,-71,-36.13135,99,-15,-0.017525,21,0,35.13105,203,8,16,0,71,6
0,58.00265,255,-21,14.00435,148,-47,-0.011625,20,0,35.2483,202,8,16,0,21,6
0,52.5682,255,-61,-26.5169,112,-50,-0.025275,25,0,34.715525,216,8,16,0,61,6
0,51.757075,255,-91,-56.908625,77,-46,-0.027275,19,0,34.2955,202,8,16,0,91,6
0,65.057075,255,-11,26.82875,159,-30,-0.01215,23,0,38.0068,172,8,16,0,11,2
0,110.608675,255,-1,32.131475,162,-5,-0.006275,5,0,34.0213,209,8,16,0,1,15
0,56.473725,255,-31,4.31985,139,-49,-0.027525,20,0,35.539775,201,8,16,0,31,6
0,54.300475,255,-41,-7.0993,131,-18,-0.013075,28,0,34.125875,214,8,16,0,41,6
0,58.221125,255,-11,22.063075,154,-19,-0.016075,6,0,33.982675,199,8,16,0,11,15
0,64.281475,255,-11,25.399775,159,-59,-0.028075,19,0,36.642325,206,8,16,0,11,6
0,56.955725,255,-71,-35.250825,93,-9,0.003175,11,0,36.25205,206,8,16,0,71,10
0,57.2799,255,-81,-44.766075,86,-39,-0.024475,10,0,36.66785,200,8,16,0,81,10
0,54.760575,255,-71,-34.795125,112,-52,-0.000525,92,0,36.351575,210,8,16,0,71,2
0,52.4272,255,-41,-8.432025,123,-6,-0.00655,5,0,33.50355,205,8,16,0,41,15
0,54.68325,255,-31,2.65445,135,-33,-0.03055,13,0,34.034925,201,8,16,0,31,10
0,53.035175,255,-61,-27.10445,107,-32,-0.014025,21,0,34.342075,204,8,16,0,61,10
0,56.785625,255,-81,-43.3877,100,-23,-0.01215,40,0,37.77925,208,8,16,0,81,2
0,54.578625,255,-21,11.52645,143,-5,-0.004775,5,0,33.4647,199,8,16,0,21,15
0,60.6181,255,-31,7.337125,145,-34,-0.00705,105,0,38.495025,197,8,16,0,31,2
0,124.62675,255,-1,34.5191,169,-14,-0.0116,21,0,35.765025,199,8,16,0,1,6
