,ts,th_limit,budget,delta,rpq_occ,p,i,d,sp
0,0.08907000000000001,0,-1,0,0,8,16,0,1
1,0.09272999999999999,0,-1,0,0,8,16,0,1
2,0.09392,0,-1,0,0,8,16,0,1
3,0.09504,0,-1,0,0,8,16,0,1
4,0.09621,0,-1,0,0,8,16,0,1
5,0.09727000000000001,0,-1,0,0,8,16,0,1
6,0.09836,0,-1,0,0,8,16,0,1
7,0.09942999999999999,0,-1,0,0,8,16,0,1
8,0.10053,0,-1,0,0,8,16,0,1
9,0.10165,0,-1,0,0,8,16,0,1
10,0.10271,0,-1,0,0,8,16,0,1
11,0.10377,0,-1,0,0,8,16,0,1
12,0.10484,0,-1,0,0,8,16,0,1
13,0.10589000000000001,0,-1,0,0,8,16,0,1
14,0.10695,0,-1,0,0,8,16,0,1
15,0.10814000000000001,0,-1,0,0,8,16,0,1
16,0.10918,0,-1,0,0,8,16,0,1
17,0.11023,0,-1,0,0,8,16,0,1
18,0.11127000000000001,0,-1,0,0,8,16,0,1
19,0.11233,0,-1,0,0,8,16,0,1
20,0.11338,0,-1,0,0,8,16,0,1
21,0.11444000000000001,0,-1,0,0,8,16,0,1
22,0.11549000000000001,0,-1,0,0,8,16,0,1
23,0.11654,0,-1,0,0,8,16,0,1
24,0.11757000000000001,0,-1,0,0,8,16,0,1
25,0.11862,0,-1,0,0,8,16,0,1
26,0.11972999999999999,0,-1,0,0,8,16,0,1
27,0.12078,0,-1,0,0,8,16,0,1
28,0.12185,0,-1,0,0,8,16,0,1
29,0.1229,0,-1,0,0,8,16,0,1
30,0.12395999999999999,0,-1,0,0,8,16,0,1
31,0.12500999999999998,0,-1,0,0,8,16,0,1
32,0.12608,0,-1,0,0,8,16,0,1
33,0.12713,0,-1,0,0,8,16,0,1
34,0.12829000000000002,0,-1,0,0,8,16,0,1
35,0.12934,0,-1,0,0,8,16,0,1
36,0.1304,0,-1,0,0,8,16,0,1
37,0.13146,0,-1,0,0,8,16,0,1
38,0.13251,0,-1,0,0,8,16,0,1
39,0.13355999999999998,0,-1,0,0,8,16,0,1
40,0.13463,0,-1,0,0,8,16,0,1
41,0.13574,0,-1,0,0,8,16,0,1
42,0.1368,0,-1,0,0,8,16,0,1
43,0.13785,0,-1,0,0,8,16,0,1
44,0.13888,0,-1,0,0,8,16,0,1
45,0.13995,0,-1,0,0,8,16,0,1
46,0.141,0,-1,0,0,8,16,0,1
47,0.14206,0,-1,0,0,8,16,0,1
48,0.14315999999999998,0,-1,0,0,8,16,0,1
49,0.14424,0,-1,0,0,8,16,0,1
50,0.14528,0,-1,0,0,8,16,0,1
51,0.14634,0,-1,0,0,8,16,0,1
52,0.14736,0,-1,0,0,8,16,0,1
53,0.14831,0,-1,0,0,8,16,0,1
54,0.14924,0,-1,0,0,8,16,0,1
55,0.15016,0,-1,0,0,8,16,0,1
56,0.1511,0,-1,0,0,8,16,0,1
57,0.15207,0,-1,0,0,8,16,0,1
58,0.15302000000000002,0,-1,0,0,8,16,0,1
59,0.15395999999999999,0,-1,0,0,8,16,0,1
60,0.1549,0,-1,0,0,8,16,0,1
61,0.15592999999999999,0,-1,0,0,8,16,0,1
62,0.15688,0,-1,0,0,8,16,0,1
63,0.15777,0,-1,0,0,8,16,0,1
64,0.15862,0,-1,0,0,8,16,0,1
65,0.15947,0,-1,0,0,8,16,0,1
66,0.16030999999999998,0,-1,0,0,8,16,0,1
67,0.16115,0,-1,0,0,8,16,0,1
68,0.162,0,-1,0,0,8,16,0,1
69,0.16283,0,-1,0,0,8,16,0,1
70,0.16371,0,-1,0,0,8,16,0,1
71,0.16455999999999998,0,-1,0,0,8,16,0,1
72,0.1654,0,-1,0,0,8,16,0,1
73,0.16624,0,-1,0,0,8,16,0,1
74,0.16708,0,-1,0,0,8,16,0,1
75,0.16798,0,-1,0,0,8,16,0,1
76,0.16877999999999999,0,-1,0,0,8,16,0,1
77,0.16956,0,-1,0,0,8,16,0,1
78,0.17032,0,-1,0,0,8,16,0,1
79,0.17107999999999998,0,-1,0,0,8,16,0,1
80,0.17194,0,-1,0,0,8,16,0,1
81,0.17271,0,-1,0,0,8,16,0,1
82,0.17348,0,-1,0,0,8,16,0,1
83,0.17424,0,-1,0,0,8,16,0,1
84,0.17501,0,-1,0,0,8,16,0,1
85,0.17584,0,-1,0,0,8,16,0,1
86,0.1766,0,-1,0,0,8,16,0,1
87,0.17737,0,-1,0,0,8,16,0,1
88,0.17812999999999998,0,-1,0,0,8,16,0,1
89,0.17885,0,-1,0,0,8,16,0,1
90,0.17956,0,-1,0,0,8,16,0,1
91,0.1803,0,-1,0,0,8,16,0,1
92,0.18101,0,-1,0,0,8,16,0,1
93,0.18170999999999998,0,-1,0,0,8,16,0,1
94,0.18242,0,-1,0,0,8,16,0,1
95,0.18312,0,-1,0,0,8,16,0,1
96,0.18395,0,-1,0,0,8,16,0,1
97,0.18466,0,-1,0,0,8,16,0,1
98,0.18535,0,-1,0,0,8,16,0,1
99,0.18606,0,-1,0,0,8,16,0,1
100,0.18675999999999998,0,-1,0,0,8,16,0,1
101,0.18748,0,-1,0,0,8,16,0,1
102,0.18819,0,-1,0,0,8,16,0,1
103,0.18888,0,-1,0,0,8,16,0,1
104,0.18953,0,-1,0,0,8,16,0,1
105,0.19019,0,-1,0,0,8,16,0,1
106,0.19087,0,-1,0,0,8,16,0,1
107,0.19153,0,-1,0,0,8,16,0,1
108,0.19221,0,-1,0,0,8,16,0,1
109,0.19286,0,-1,0,0,8,16,0,1
110,0.19351,0,-1,0,0,8,16,0,1
111,0.19417,0,-1,0,0,8,16,0,1
112,0.19482,0,-1,0,0,8,16,0,1
113,0.19548,0,-1,0,0,8,16,0,1
114,0.19614,0,-1,0,0,8,16,0,1
115,0.19677999999999998,0,-1,0,0,8,16,0,1
116,0.19746,0,-1,0,0,8,16,0,1
117,0.19812000000000002,0,-1,0,0,8,16,0,1
118,0.19877,0,-1,0,0,8,16,0,1
119,0.19942000000000001,0,-1,0,0,8,16,0,1
120,0.20014,0,-1,0,0,8,16,0,1
121,0.2007,0,-1,0,0,8,16,0,1
122,0.20127,0,-1,0,0,8,16,0,1
123,0.20184000000000002,0,-1,0,0,8,16,0,1
124,0.2024,0,-1,0,0,8,16,0,1
125,0.20301,0,-1,0,0,8,16,0,1
126,0.2036,0,-1,0,0,8,16,0,1
127,0.20419,0,-1,0,0,8,16,0,1
128,0.20475,0,-1,0,0,8,16,0,1
129,0.20531,0,-1,0,0,8,16,0,1
130,0.20586999999999997,0,-1,0,0,8,16,0,1
131,0.20643000000000003,0,-1,0,0,8,16,0,1
132,0.207,0,-1,0,0,8,16,0,1
133,0.2076,0,-1,0,0,8,16,0,1
134,0.20815999999999998,0,-1,0,0,8,16,0,1
135,0.20873000000000003,0,-1,0,0,8,16,0,1
136,0.20928000000000002,0,-1,0,0,8,16,0,1
137,0.20983000000000002,0,-1,0,0,8,16,0,1
138,0.21045,0,-1,0,0,8,16,0,1
139,0.21098000000000003,0,-1,0,0,8,16,0,1
140,0.21153000000000002,0,-1,0,0,8,16,0,1
141,0.21206999999999998,0,-1,0,0,8,16,0,1
142,0.21261,0,-1,0,0,8,16,0,1
143,0.21315,0,-1,0,0,8,16,0,1
144,0.21368,0,-1,0,0,8,16,0,1
145,0.21420999999999998,0,-1,0,0,8,16,0,1
146,0.21478000000000003,0,-1,0,0,8,16,0,1
147,0.21535,0,-1,0,0,8,16,0,1
148,0.21593,0,-1,0,0,8,16,0,1
149,0.21646999999999997,0,-1,0,0,8,16,0,1
150,0.217,0,-1,0,0,8,16,0,1
151,0.21754,0,-1,0,0,8,16,0,1
152,0.2181,0,-1,0,0,8,16,0,1
153,0.21863000000000002,0,-1,0,0,8,16,0,1
154,0.21916,0,-1,0,0,8,16,0,1
155,0.21973,0,-1,0,0,8,16,0,1
156,0.22025999999999998,0,-1,0,0,8,16,0,1
157,0.22080999999999998,0,-1,0,0,8,16,0,1
158,0.22129000000000001,0,-1,0,0,8,16,0,1
159,0.22175999999999998,0,-1,0,0,8,16,0,1
160,0.22224000000000002,0,-1,0,0,8,16,0,1
161,0.22271,0,-1,0,0,8,16,0,1
162,0.22318000000000002,0,-1,0,0,8,16,0,1
163,0.22371,0,-1,0,0,8,16,0,1
164,0.22416999999999998,0,-1,0,0,8,16,0,1
165,0.22466999999999998,0,-1,0,0,8,16,0,1
166,0.22514,0,-1,0,0,8,16,0,1
167,0.22566,0,-1,0,0,8,16,0,1
168,0.22613000000000003,0,-1,0,0,8,16,0,1
169,0.2266,0,-1,0,0,8,16,0,1
170,0.22707,0,-1,0,0,8,16,0,1
171,0.22785,0,-1,0,0,8,16,0,1
172,0.22853,0,-1,0,0,8,16,0,1
173,0.22924,0,-1,0,0,8,16,0,1
174,0.22991999999999999,0,-1,0,0,8,16,0,1
175,0.23054000000000002,0,-1,0,0,8,16,0,1
176,0.23115,0,-1,0,0,8,16,0,1
177,0.23183,0,-1,0,0,8,16,0,1
178,0.23246999999999998,0,-1,0,0,8,16,0,1
179,0.23309000000000002,0,-1,0,0,8,16,0,1
180,0.2337,0,-1,0,0,8,16,0,1
181,0.23433,0,-1,0,0,8,16,0,1
182,0.23496999999999998,0,-1,0,0,8,16,0,1
183,0.23565,0,-1,0,0,8,16,0,1
184,0.23628000000000002,0,-1,0,0,8,16,0,1
185,0.23697,0,-1,0,0,8,16,0,1
186,0.23764000000000002,0,-1,0,0,8,16,0,1
187,0.23826999999999998,0,-1,0,0,8,16,0,1
188,0.2389,0,-1,0,0,8,16,0,1
189,0.23936999999999997,0,-1,0,0,8,16,0,1
190,0.23995,0,-1,0,0,8,16,0,1
191,0.24042,0,-1,0,0,8,16,0,1
192,0.2409,0,-1,0,0,8,16,0,1
193,0.24136999999999997,0,-1,0,0,8,16,0,1
194,0.24185,0,-1,0,0,8,16,0,1
195,0.24233000000000002,0,-1,0,0,8,16,0,1
196,0.24279,0,-1,0,0,8,16,0,1
197,0.24326,0,-1,0,0,8,16,0,1
198,0.24375,0,-1,0,0,8,16,0,1
199,0.24422,0,-1,0,0,8,16,0,1
200,0.24469000000000002,0,-1,0,0,8,16,0,1
201,0.24516,0,-1,0,0,8,16,0,1
202,0.24564,0,-1,0,0,8,16,0,1
203,0.24611999999999998,0,-1,0,0,8,16,0,1
204,0.24663000000000002,0,-1,0,0,8,16,0,1
205,0.24711,0,-1,0,0,8,16,0,1
206,0.24759,0,-1,0,0,8,16,0,1
207,0.24805,0,-1,0,0,8,16,0,1
208,0.24852,0,-1,0,0,8,16,0,1
209,0.24898,0,-1,0,0,8,16,0,1
210,0.24945,0,-1,0,0,8,16,0,1
211,0.24994,0,-1,0,0,8,16,0,1
212,0.25042,0,-1,0,0,8,16,0,1
213,0.25089,0,-1,0,0,8,16,0,1
214,0.25136,0,-1,0,0,8,16,0,1
215,0.25185,0,-1,0,0,8,16,0,1
216,0.25232,0,-1,0,0,8,16,0,1
217,0.2528,0,-1,0,0,8,16,0,1
218,0.25327,0,-1,0,0,8,16,0,1
219,0.25378,0,-1,0,0,8,16,0,1
220,0.25424,0,-1,0,0,8,16,0,1
221,0.25471,0,-1,0,0,8,16,0,1
222,0.25522,0,-1,0,0,8,16,0,1
223,0.25578,0,-1,0,0,8,16,0,1
224,0.25628,0,-1,0,0,8,16,0,1
225,0.25676,0,-1,0,0,8,16,0,1
226,0.25728,0,-1,0,0,8,16,0,1
227,0.25776,0,-1,0,0,8,16,0,1
228,0.25826,0,-1,0,0,8,16,0,1
229,0.25873,0,-1,0,0,8,16,0,1
230,0.25921,0,-1,0,0,8,16,0,1
231,0.2598,0,-1,0,0,8,16,0,1
232,0.26047,0,-1,0,0,8,16,0,1
233,0.26113000000000003,0,-1,0,0,8,16,0,1
234,0.26188,0,-1,0,0,8,16,0,1
235,0.2625,0,-1,0,0,8,16,0,1
236,0.26314,0,-1,0,0,8,16,0,1
237,0.26388,0,-1,0,0,8,16,0,1
238,0.26456999999999997,0,-1,0,0,8,16,0,1
239,0.26543,0,-1,0,0,8,16,0,1
240,0.26613000000000003,0,-1,0,0,8,16,0,1
241,0.2669,0,-1,0,0,8,16,0,1
242,0.26759,0,-1,0,0,8,16,0,1
243,0.26825,0,-1,0,0,8,16,0,1
244,0.26884,0,-1,0,0,8,16,0,1
245,0.26950999999999997,0,-1,0,0,8,16,0,1
246,0.27019,0,-1,0,0,8,16,0,1
247,0.27088,0,-1,0,0,8,16,0,1
248,0.27171,0,-1,0,0,8,16,0,1
249,0.27233,0,-1,0,0,8,16,0,1
250,0.273,0,-1,0,0,8,16,0,1
251,0.27364,0,-1,0,0,8,16,0,1
252,0.27421999999999996,0,-1,0,0,8,16,0,1
253,0.27486,0,-1,0,0,8,16,0,1
254,0.27555999999999997,0,-1,0,0,8,16,0,1
255,0.2761,0,-1,0,0,8,16,0,1
256,0.27657,0,-1,0,0,8,16,0,1
257,0.27705,0,-1,0,0,8,16,0,1
258,0.27752,0,-1,0,0,8,16,0,1
259,0.278,0,-1,0,0,8,16,0,1
260,0.27848,0,-1,0,0,8,16,0,1
261,0.27895,0,-1,0,0,8,16,0,1
262,0.27949,0,-1,0,0,8,16,0,1
263,0.27999,0,-1,0,0,8,16,0,1
264,0.28058,0,-1,0,0,8,16,0,1
265,0.28106,0,-1,0,0,8,16,0,1
266,0.28152,0,-1,0,0,8,16,0,1
267,0.282,0,-1,0,0,8,16,0,1
268,0.28247,0,-1,0,0,8,16,0,1
269,0.28295,0,-1,0,0,8,16,0,1
270,0.28342,0,-1,0,0,8,16,0,1
271,0.28396,0,-1,0,0,8,16,0,1
272,0.28443,0,-1,0,0,8,16,0,1
273,0.28491,0,-1,0,0,8,16,0,1
274,0.28538,0,-1,0,0,8,16,0,1
275,0.28588,0,-1,0,0,8,16,0,1
276,0.28636,0,-1,0,0,8,16,0,1
277,0.28686,0,-1,0,0,8,16,0,1
278,0.28733000000000003,0,-1,0,0,8,16,0,1
279,0.28784,0,-1,0,0,8,16,0,1
280,0.28831999999999997,0,-1,0,0,8,16,0,1
281,0.28879,0,-1,0,0,8,16,0,1
282,0.28926999999999997,0,-1,0,0,8,16,0,1
283,0.28975,0,-1,0,0,8,16,0,1
284,0.29026,0,-1,0,0,8,16,0,1
285,0.29074,0,-1,0,0,8,16,0,1
286,0.29122,0,-1,0,0,8,16,0,1
287,0.29185,0,-1,0,0,8,16,0,1
288,0.29245,0,-1,0,0,8,16,0,1
289,0.29309,0,-1,0,0,8,16,0,1
290,0.2937,0,-1,0,0,8,16,0,1
291,0.29434,0,-1,0,0,8,16,0,1
292,0.29496999999999995,0,-1,0,0,8,16,0,1
293,0.29562,0,-1,0,0,8,16,0,1
294,0.29627,0,-1,0,0,8,16,0,1
295,0.29762,0,-1,0,0,8,16,0,1
296,0.31995,0,-1,0,0,8,16,0,1
297,0.32045999999999997,0,-1,0,0,8,16,0,1
298,0.32093,0,-1,0,0,8,16,0,1
299,0.32141,0,-1,0,0,8,16,0,1
300,0.32189,0,-1,0,0,8,16,0,1
301,0.3224,0,-1,0,0,8,16,0,1
302,0.32288,0,-1,0,0,8,16,0,1
303,0.32335,0,-1,0,0,8,16,0,1
304,0.32385,0,-1,0,0,8,16,0,1
305,0.32433,0,-1,0,0,8,16,0,1
306,0.3248,0,-1,0,0,8,16,0,1
307,0.32527,0,-1,0,0,8,16,0,1
308,0.32574000000000003,0,-1,0,0,8,16,0,1
309,0.3262,0,-1,0,0,8,16,0,1
310,0.32668,0,-1,0,0,8,16,0,1
311,0.32715,0,-1,0,0,8,16,0,1
312,0.32766,0,-1,0,0,8,16,0,1
313,0.32814,0,-1,0,0,8,16,0,1
314,0.32865,0,-1,0,0,8,16,0,1
315,0.32913000000000003,0,-1,0,0,8,16,0,1
316,0.32961,0,-1,0,0,8,16,0,1
317,0.33008000000000004,0,-1,0,0,8,16,0,1
318,0.33055999999999996,0,-1,0,0,8,16,0,1
319,0.33105,0,-1,0,0,8,16,0,1
320,0.33153,0,-1,0,0,8,16,0,1
321,0.33200999999999997,0,-1,0,0,8,16,0,1
322,0.33249,0,-1,0,0,8,16,0,1
323,0.33296,0,-1,0,0,8,16,0,1
324,0.33343,0,-1,0,0,8,16,0,1
325,0.33391,0,-1,0,0,8,16,0,1
326,0.33438,0,-1,0,0,8,16,0,1
327,0.33486,0,-1,0,0,8,16,0,1
328,0.33537,0,-1,0,0,8,16,0,1
329,0.33589,0,-1,0,0,8,16,0,1
330,0.33637,0,-1,0,0,8,16,0,1
331,0.33684000000000003,0,-1,0,0,8,16,0,1
332,0.33732,0,-1,0,0,8,16,0,1
333,0.3378,0,-1,0,0,8,16,0,1
334,0.33826,0,-1,0,0,8,16,0,1
335,0.33875,0,-1,0,0,8,16,0,1
336,0.33921999999999997,0,-1,0,0,8,16,0,1
337,0.33976999999999996,0,-1,0,0,8,16,0,1
338,0.34029,0,-1,0,0,8,16,0,1
339,0.34076,0,-1,0,0,8,16,0,1
340,0.34124,0,-1,0,0,8,16,0,1
341,0.34171,0,-1,0,0,8,16,0,1
342,0.34221999999999997,0,-1,0,0,8,16,0,1
343,0.3427,0,-1,0,0,8,16,0,1
344,0.34319,0,-1,0,0,8,16,0,1
345,0.34369,0,-1,0,0,8,16,0,1
346,0.34417,0,-1,0,0,8,16,0,1
347,0.34465,0,-1,0,0,8,16,0,1
348,0.34513,0,-1,0,0,8,16,0,1
349,0.3456,0,-1,0,0,8,16,0,1
350,0.34607,0,-1,0,0,8,16,0,1
351,0.34654,0,-1,0,0,8,16,0,1
352,0.34702,0,-1,0,0,8,16,0,1
353,0.34757,0,-1,0,0,8,16,0,1
354,0.34804,0,-1,0,0,8,16,0,1
355,0.34854,0,-1,0,0,8,16,0,1
356,0.34902,0,-1,0,0,8,16,0,1
357,0.34949,0,-1,0,0,8,16,0,1
358,0.34996,0,-1,0,0,8,16,0,1
359,0.35044000000000003,0,-1,0,0,8,16,0,1
360,0.35091999999999995,0,-1,0,0,8,16,0,1
