th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
0,54.8232,255,-31,2.96685,135,-9,-0.00915,11,0,34.4339,205,16,16,0,31,10
0,62.03305,255,-21,18.1299,155,-77,-0.020825,89,0,39.2716,183,16,16,0,21,2
0,58.649475,255,-41,-3.130225,146,-36,-5e-05,92,0,38.054825,213,16,16,0,41,2
0,57.4829,255,-51,-13.573775,129,-20,-0.007375,32,0,37.5958,197,16,16,0,51,2
0,52.400275,255,-41,-8.56895,122,-9,-0.00305,10,0,33.41515,261,16,16,0,41,15
0,57.906325,255,-21,14.56405,150,-15,-0.001925,21,0,35.84815,205,16,16,0,21,6
0,50.9385,255,-61,-28.10045,109,-15,0.00175,38,0,33.156025,208,16,16,0,61,6
0,54.1569,255,-31,2.69235,140,-58,-0.0192,26,0,33.926175,212,16,16,0,31,6
0,53.962475,255,-71,-35.4945,108,-21,-0.0085,35,0,35.658975,199,16,16,0,71,2
0,52.150025,255,-51,-18.0832,113,-16,-0.001325,20,0,33.977875,200,16,16,0,51,15
0,53.607775,255,-21,11.15195,142,-8,-0.008025,5,0,32.98775,216,16,16,0,21,15
0,128.969275,255,-1,36.24295,186,-102,-0.0343,39,0,37.38375,211,16,16,0,1,2
0,51.01625,255,-71,-38.072075,95,-10,-0.0076,9,0,33.3606,201,16,16,0,71,10
0,54.20395,255,-101,-64.1337,66,-33,-0.023075,10,0,37.34025,203,16,16,0,101,10
0,53.313975,255,-101,-64.7338,68,-54,-0.029425,22,0,36.54815,205,16,16,0,101,6
0,57.066675,255,-61,-24.17275,117,-78,-0.031025,43,0,36.98205,207,16,16,0,61,2
0,122.97425,255,-1,32.8733,169,-13,-0.008475,19,0,34.113125,194,16,16,0,1,6
0,60.766775,255,-31,7.59155,146,-65,-0.016725,11,0,38.7601,185,16,16,0,31,2
0,51.4252,255,-81,-47.671325,84,-7,-0.0079,9,0,34.26775,225,16,16,0,81,15
0,54.080325,255,-81,-45.082775,102,-24,0.005725,54,0,36.077375,210,16,16,0,81,2
0,64.04255,255,-11,26.2124,163,-83,-0.032025,12,0,37.352675,183,16,16,0,11,2
0,54.22305,255,-31,2.575875,135,-25,-0.016675,4,0,34.41885,202,16,16,0,31,15
0,51.87695,255,-101,-68.187075,61,-7,0.001675,7,0,33.631475,235,16,16,0,101,15
0,55.3176,255,-41,-6.1637,134,-49,-0.016175,40,0,35.08935,220,16,16,0,41,6
0,52.94155,255,-51,-17.149825,116,-31,-0.02935,12,0,34.314475,204,16,16,0,51,10
0,55.437375,255,-11,20.284175,151,-7,-0.003275,5,0,32.10565,206,16,16,0,11,15
0,101.806475,255,-1,30.654325,163,-16,-0.0041,17,0,32.5169,203,16,16,0,1,15
0,51.795925,255,-61,-28.453775,102,-9,-0.00925,4,0,33.491975,205,16,16,0,61,15
0,51.3122,255,-51,-18.259775,119,-66,-0.015525,51,0,32.963725,205,16,16,0,51,6
0,121.269,255,-1,32.81495,165,-10,0.006625,36,0,34.323425,206,16,16,0,1,10
0,55.348325,255,-21,12.65295,147,-27,-0.017075,12,0,34.0305,208,16,16,0,21,10
0,59.285525,255,-11,24.372775,160,-44,-0.01995,18,0,35.58695,206,16,16,0,11,6
0,50.886175,255,-91,-57.5818,77,-11,-0.00885,10,0,33.89935,204,16,16,0,91,10
0,59.47165,255,-11,23.3867,157,-28,0.001725,42,0,34.879975,214,16,16,0,11,10
0,52.907475,255,-91,-55.931775,79,-17,-0.011475,24,0,35.301375,208,16,16,0,91,6
0,51.66905,255,-81,-46.70755,93,-18,-0.002975,25,0,34.5318,213,16,16,0,81,6
0,58.4768,255,-91,-52.189525,84,-99,-0.02865,29,0,38.984575,188,16,16,0,91,2
0,53.621625,255,-91,-55.471375,73,-7,-0.00435,8,0,36.526725,206,16,16,0,91,15
0,50.89545,255,-71,-37.50135,103,-49,-0.02625,27,0,33.74655,211,16,16,0,71,6
0,53.933175,255,-41,-7.07005,124,-35,-0.0264,19,0,34.305925,336,16,16,0,41,10
0,52.455125,255,-81,-46.8419,85,-31,-0.017525,17,0,34.568575,219,16,16,0,81,10
0,65.116925,255,-71,-29.8184,92,-18,-0.013225,6,0,42.14005,203,16,16,0,71,15
0,53.890225,255,-61,-26.668575,106,-12,-0.0093,15,0,34.76,204,16,16,0,61,10
0,53.613875,255,-101,-65.2897,76,-81,-0.025625,33,0,35.857675,201,16,16,0,101,2
