th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
255,255.0,255,121,129.0685,132,-9,-0.0115,11,131,162.17216666666667,205,16,16,0,31,10
255,255.0,255,142,145.61966666666666,148,-4,-0.022333333333333334,3,162,167.21333333333334,170,16,16,0,21,2
255,255.0,255,119,123.659,128,-4,-0.0165,4,160,165.35033333333334,171,16,16,0,41,2
255,255.0,255,93,112.1405,125,-20,-0.016166666666666666,32,136,163.80266666666665,197,16,16,0,51,2
255,255.0,255,112,117.1495,122,-9,0.0005,10,121,162.52816666666666,261,16,16,0,41,15
255,255.0,255,128,142.5805,149,-15,0.0018333333333333333,21,129,164.74316666666667,205,16,16,0,21,6
255,255.0,255,85,99.469,109,-15,-0.043666666666666666,22,129,161.45116666666667,208,16,16,0,61,6
255,255.0,255,113,130.39216666666667,140,-18,-0.0015,26,128,162.5185,212,16,16,0,31,6
255,255.0,255,72,91.52516666666666,106,-21,-0.022833333333333334,33,134,163.14266666666666,199,16,16,0,71,2
255,255.0,255,103,107.4095,109,-3,0.0023333333333333335,4,136,162.82716666666667,198,16,16,0,51,15
143,252.69633333333334,255,-21,131.093,142,-8,-0.04016666666666667,5,0,155.464,216,16,16,0,21,15
255,255.0,255,162,165.8345,169,-4,-0.03183333333333333,3,163,167.4295,172,16,16,0,1,2
39,251.77066666666667,255,-71,84.90566666666666,95,-8,-0.018,9,0,157.74233333333333,201,16,16,0,71,10
255,255.0,255,54,60.00366666666667,62,-7,-0.0045,8,137,163.0375,193,16,16,0,101,10
255,255.0,255,44,58.2875,67,-15,-0.0475,22,131,160.33416666666668,202,16,16,0,101,6
255,255.0,255,74,100.5135,117,-28,-0.04633333333333333,43,123,162.17366666666666,207,16,16,0,61,2
255,255.0,255,147,160.19616666666667,167,-13,-0.024166666666666666,19,133,162.2045,194,16,16,0,1,6
255,255.0,255,130,132.78083333333333,137,-4,0.0006666666666666666,7,159,164.47066666666666,173,16,16,0,31,2
255,255.0,255,73,78.66733333333333,81,-5,-0.003833333333333333,7,124,163.46766666666667,225,16,16,0,81,15
255,255.0,255,58,82.565,102,-24,-0.0028333333333333335,44,130,164.17883333333333,210,16,16,0,81,2
255,255.0,255,150,154.69083333333333,158,-5,-0.021666666666666667,3,160,166.33666666666667,171,16,16,0,11,2
255,255.0,255,125,129.479,131,-4,-0.0028333333333333335,4,131,164.378,202,16,16,0,31,15
0,243.01266666666666,255,-101,50.429,61,-5,-0.0006666666666666666,7,0,154.52466666666666,235,16,16,0,101,15
255,255.0,255,104,119.083,134,-15,-0.03833333333333333,29,127,161.12816666666666,220,16,16,0,41,6
255,255.0,255,99,108.17566666666667,112,-9,-0.018666666666666668,12,130,161.20383333333334,204,16,16,0,51,10
255,255.0,255,141,146.36916666666667,148,-5,0.0011666666666666668,5,125,160.9685,203,16,16,0,11,15
255,255.0,255,154,157.00916666666666,159,-3,-0.0023333333333333335,3,134,161.611,196,16,16,0,1,15
79,252.33733333333333,255,-61,93.90816666666667,102,-9,-0.03883333333333333,4,0,158.8365,201,16,16,0,61,15
255,255.0,255,95,110.58183333333334,119,-16,-0.0535,21,126,162.5615,205,16,16,0,51,6
255,255.0,255,150,159.91683333333333,163,-10,-0.03816666666666667,12,126,162.87733333333333,206,16,16,0,1,10
255,255.0,255,131,140.9565,146,-10,-0.003,12,128,163.731,207,16,16,0,21,10
222,254.80066666666667,255,-11,149.23666666666668,160,-44,-0.09966666666666667,18,0,161.09466666666665,206,16,16,0,11,6
255,255.0,255,66,69.28366666666666,71,-3,-0.0005,4,151,162.52416666666667,173,16,16,0,91,10
224,254.66133333333335,255,-11,147.59,157,-28,-0.081,13,0,160.241,214,16,16,0,11,10
255,255.0,255,53,70.37116666666667,79,-17,-0.058666666666666666,24,122,162.36,208,16,16,0,91,6
255,255.0,255,64,81.76583333333333,93,-17,-0.022,24,129,163.74533333333332,213,16,16,0,81,6
255,255.0,255,55,69.939,84,-16,-0.024833333333333332,29,139,161.64683333333332,188,16,16,0,91,2
255,255.0,255,65,67.87133333333334,70,-1,-0.0011666666666666668,2,149,162.59916666666666,178,16,16,0,91,15
255,255.0,255,74,90.3215,101,-18,-0.0315,27,122,162.42783333333333,211,16,16,0,71,6
255,255.0,255,103,119.232,124,-16,-0.015166666666666667,19,107,161.936,336,16,16,0,41,10
255,255.0,255,66,77.92883333333333,81,-12,-0.009333333333333334,15,115,160.90433333333334,219,16,16,0,81,10
255,255.0,255,86,87.032,90,-1,-0.0013333333333333333,1,149,161.376,176,16,16,0,71,15
255,255.0,255,91,98.6925,103,-7,-0.01,12,132,161.515,201,16,16,0,61,10
255,255.0,255,43,61.708333333333336,76,-20,0.015166666666666667,33,136,163.349,201,16,16,0,101,2
