th_limit_p10,th_limit_avg,th_limit_p75,budget_p10,budget_avg,budget_p75,delta_p10,delta_avg,delta_p75,rpq_occ_p10,rpq_occ_avg,rpq_occ_p75,p,i,d,sp,ewma
255,255.0,255,12,15.355833333333333,18,-3,-0.0008333333333333334,4,133,160.78183333333334,192,8,16,0,141,15
255,255.0,255,33,35.36983333333333,38,-4,0.0025,5,134,160.61616666666666,203,8,16,0,121,15
255,255.0,255,24,25.8275,28,-2,0.0005,2,144,160.85016666666667,174,8,16,0,131,15
0,5.423,15,-6,-0.25283333333333335,2,-5,-0.0065,6,125,163.9965,213,8,16,0,161,15
255,255.0,255,49,61.2455,68,-13,-0.03383333333333333,21,134,163.29816666666667,203,8,16,0,101,6
0,0.0,0,-17,-8.309166666666666,-3,-9,-0.0125,12,127,164.24833333333333,212,8,16,0,171,10
0,0.0,0,-28,-18.616333333333333,-14,-10,-0.003,12,125,164.00583333333333,210,8,16,0,181,10
255,255.0,255,39,47.980333333333334,54,-9,-0.03,10,128,160.89766666666668,200,8,16,0,111,10
255,255.0,255,61,69.73133333333334,76,-9,-0.0345,10,131,162.36733333333333,205,8,16,0,91,10
254,254.99866666666668,255,-7,11.339,26,-19,-0.02666666666666667,33,136,162.96116666666666,202,8,16,0,151,2
255,255.0,255,53,57.73833333333334,64,-4,-0.0008333333333333334,4,129,162.57983333333334,196,8,16,0,101,15
0,0.0,0,-25,-8.2475,2,-16,-0.019666666666666666,26,128,163.77183333333332,221,8,16,0,171,6
0,0.0,0,-6,-2.5335,-1,-3,0.0016666666666666668,3,135,163.638,203,8,16,0,161,17
255,255.0,255,19,41.945,54,-23,-0.011166666666666667,34,119,164.00466666666668,228,8,16,0,121,6
255,255.0,255,26,32.20633333333333,36,-6,-0.011333333333333334,10,156,163.916,174,8,16,0,131,2
255,255.0,255,32,39.977333333333334,44,-8,-0.0225,11,135,163.02,207,8,16,0,121,10
0,0.0013333333333333333,1,-29,-5.982833333333334,12,-22,-0.04033333333333333,40,134,165.616,210,8,16,0,171,2
