kp,ki,setpoint,ewma
8,16,91,2
8,16,101,2
8,16,111,2
8,16,121,2
8,16,131,2
8,16,141,2
8,16,151,2
8,16,161,2
8,16,171,2
8,16,181,2
8,16,191,2
8,16,91,6
8,16,101,6
8,16,111,6
8,16,121,6
8,16,131,6
8,16,141,6
8,16,151,6
8,16,161,6
8,16,171,6
8,16,181,6
8,16,191,6
8,16,91,10
8,16,101,10
8,16,111,10
8,16,121,10
8,16,131,10
8,16,141,10
8,16,151,10
8,16,161,10
8,16,171,10
8,16,181,10
8,16,191,10
8,16,91,15
8,16,101,15
8,16,111,15
8,16,121,15
8,16,131,15
8,16,141,15
8,16,151,15
8,16,161,15
8,16,171,15
8,16,181,15
8,16,191,15
8,16,91,15
8,16,101,17
8,16,111,17
8,16,121,17
8,16,131,17
8,16,141,17
8,16,151,17
8,16,161,17
8,16,171,17
8,16,181,17
8,16,191,17
